ID,Date of Payment (Payment),OR Number (Payment),Year (Payment),Lodge (Payment),Amount (Payment),Posted (Payment),User (Payment)
24998,3/13/2017,164480,2017,51,200,1,ALLAN
24998,2/10/2016,160667,2016,51,200,1,CECILLE
24998,3/30/2015,157657,2015,51,200,1,ALLAN
24998,1/7/2015,156315,2014,51,200,1,ALLAN
24998,12/27/2013,13-373,2013,51,200,1,ALLAN
25008,1/15/2025,199617,2025,51,2600,1,ALLAN
25008,1/15/2024,192998,2024,51,2600,1,ALLAN
25008,1/19/2023,186866,2023,51,2500,1,ALLAN
25008,1/31/2022,180826,2022,51,2500,1,ALLAN
25008,4/26/2021,21-036,2021,51,1725,1,ALLAN
25008,1/14/2020,174589,2020,51,1725,1,ALLAN
25008,2/26/2019,171339,2019,51,1725,1,ALLAN
25008,3/7/2018,168289,2018,51,1725,1,ALLAN
25008,3/13/2017,164480,2017,51,1875,1,ALLAN
25008,2/10/2016,160667,2016,51,1875,1,CECILLE
25008,1/7/2015,156315,2015,51,1875,1,ALLAN
25008,1/7/2015,156315,2014,51,300,1,ALLAN
25008,1/28/2014,152236,2014,51,1425,1,ALLAN
25008,1/28/2014,152236,2007,51,935,1,ALLAN
25034,3/30/2015,157657,2015,51,200,1,ALLAN
25034,1/7/2015,156315,2014,51,200,1,ALLAN
25049,1/15/2025,199617,2025,51,400,1,ALLAN
25049,1/15/2024,192998,2024,51,400,1,ALLAN
25049,1/19/2023,186866,2023,51,400,1,ALLAN
25049,1/31/2022,180826,2022,51,400,1,ALLAN
25049,4/26/2021,21-036,2021,51,200,1,ALLAN
25049,1/14/2020,174589,2020,51,200,1,ALLAN
25049,2/26/2019,171339,2019,51,200,1,ALLAN
25049,3/7/2018,168289,2018,51,200,1,ALLAN
25049,3/13/2017,164480,2017,51,200,1,ALLAN
25049,3/30/2015,157657,2015,51,200,1,ALLAN
25049,1/7/2015,156315,2014,51,200,1,ALLAN
25058,1/15/2025,199617,2025,51,400,1,ALLAN
25058,1/15/2024,192998,2024,51,400,1,ALLAN
25058,1/19/2023,186866,2023,51,400,1,ALLAN
25058,1/31/2022,180826,2022,51,400,1,ALLAN
25058,4/26/2021,21-036,2021,51,200,1,ALLAN
25058,1/14/2020,174589,2020,51,200,1,ALLAN
25058,2/26/2019,171339,2019,51,200,1,ALLAN
25058,3/7/2018,168289,2018,51,200,1,ALLAN
25058,3/13/2017,164480,2017,51,200,1,ALLAN
25058,2/10/2016,160667,2016,51,200,1,CECILLE
25058,3/30/2015,157657,2015,51,200,1,ALLAN
25058,2/11/2014,152437,2014,51,200,1,ALLAN
25058,6/28/2013,13-094,2013,51,200,1,ALLAN
25066,1/15/2025,199617,2025,51,400,1,ALLAN
25066,1/15/2024,192998,2024,51,400,1,ALLAN
25066,1/19/2023,186866,2023,51,400,1,ALLAN
25066,1/31/2022,180826,2022,51,400,1,ALLAN
25066,4/26/2021,21-036,2021,51,200,1,ALLAN
25066,1/14/2020,174589,2020,51,200,1,ALLAN
25066,2/26/2019,171339,2019,51,200,1,ALLAN
25066,3/7/2018,168289,2018,51,200,1,ALLAN
25066,3/13/2017,164480,2017,51,200,1,ALLAN
25066,2/10/2016,160667,2016,51,200,1,CECILLE
25066,3/30/2015,157657,2015,51,200,1,ALLAN
25066,1/7/2015,156315,2014,51,200,1,ALLAN
25074,1/15/2025,199617,2025,51,400,1,ALLAN
25074,1/15/2024,192998,2024,51,400,1,ALLAN
25074,1/19/2023,186866,2023,51,400,1,ALLAN
25074,1/31/2022,180826,2022,51,400,1,ALLAN
25074,4/26/2021,21-036,2021,51,200,1,ALLAN
25074,1/14/2020,174589,2020,51,200,1,ALLAN
25074,2/26/2019,171339,2019,51,200,1,ALLAN
25074,3/7/2018,168289,2018,51,200,1,ALLAN
25074,3/13/2017,164480,2017,51,200,1,ALLAN
25074,2/10/2016,160667,2016,51,200,1,CECILLE
25074,3/30/2015,157657,2015,51,200,1,ALLAN
25074,1/7/2015,156315,2014,51,1725,1,ALLAN
25074,5/22/2013,143316,2013,51,1425,1,ALLAN
25076,5/22/2013,143316,2013,51,1425,1,ALLAN
25081,1/15/2025,199617,2025,51,2600,1,ALLAN
25081,1/15/2024,192998,2024,51,2600,1,ALLAN
25081,1/19/2023,186866,2023,51,2500,1,ALLAN
25081,1/31/2022,180826,2022,51,2500,1,ALLAN
25081,4/26/2021,21-036,2021,51,1725,1,ALLAN
25081,1/14/2020,174589,2020,51,1725,1,ALLAN
25081,2/26/2019,171339,2019,51,1725,1,ALLAN
25081,3/7/2018,168289,2018,51,1725,1,ALLAN
25081,3/13/2017,164480,2017,51,1875,1,ALLAN
25081,2/10/2016,160667,2016,51,1875,1,CECILLE
25081,1/7/2015,156315,2015,51,1875,1,ALLAN
25081,1/7/2015,156315,2014,51,300,1,ALLAN
25081,2/11/2014,152437,2014,51,1425,1,ALLAN
25081,2/28/2014,13-478,2013,51,1425,1,ALLAN
29032,3/26/2025,389,2025,346,2600,1,ALLAN
29032,2/15/2024,193889,2024,346,2600,1,ALLAN
29032,1/13/2023,186720,2023,346,2500,1,ALLAN
29032,2/18/2022,181196,2022,346,2500,1,ALLAN
29032,2/18/2021,177813,2021,346,1725,1,ALLAN
29032,3/3/2020,175616,2020,346,1725,1,ALLAN
29032,1/11/2019,170733,2019,346,1725,1,ALLAN
29032,3/14/2018,168447,2018,346,1725,1,ALLAN
29032,3/15/2017,164589,2017,346,1875,1,ALLAN
29032,7/30/2016,16-148,2016,346,1875,1,ALLAN
29032,3/31/2015,157761,2015,346,1875,1,ALLAN
29032,3/31/2015,157761,2014,346,1725,1,ALLAN
29032,3/19/2014,153082,2013,346,1425,1,ALLAN
32235,1/15/2024,192998,2024,51,400,1,ALLAN
32235,1/19/2023,186866,2023,51,400,1,ALLAN
32235,1/31/2022,180826,2022,51,400,1,ALLAN
32235,4/26/2021,21-036,2021,51,200,1,ALLAN
32235,1/14/2020,174589,2020,51,200,1,ALLAN
32235,2/26/2019,171339,2019,51,200,1,ALLAN
32235,3/7/2018,168289,2018,51,200,1,ALLAN
32235,3/13/2017,164480,2017,51,200,1,ALLAN
32235,3/30/2015,157657,2015,51,200,1,ALLAN
32235,1/7/2015,156315,2014,51,200,1,ALLAN
32456,1/15/2025,199617,2025,51,400,1,ALLAN
32456,1/15/2024,192998,2024,51,400,1,ALLAN
32456,1/19/2023,186866,2023,51,400,1,ALLAN
32456,1/31/2022,180826,2022,51,400,1,ALLAN
32456,4/26/2021,21-036,2021,51,200,1,ALLAN
32456,1/14/2020,174589,2020,51,200,1,ALLAN
32456,2/26/2019,171339,2019,51,200,1,ALLAN
32456,3/7/2018,168289,2018,51,200,1,ALLAN
32456,3/13/2017,164480,2017,51,200,1,ALLAN
32456,2/10/2016,160667,2016,51,200,1,CECILLE
32456,3/30/2015,157657,2015,51,200,1,ALLAN
32456,6/27/2014,154243,2014,51,200,1,CECILLE
32456,7/25/2013,144083,2013,51,200,1,CECILLE
32459,3/7/2018,168289,2018,51,200,1,ALLAN
32459,3/13/2017,164480,2017,51,200,1,ALLAN
32459,2/10/2016,160667,2016,51,200,1,CECILLE
32459,3/30/2015,157657,2015,51,200,1,ALLAN
32459,2/11/2014,152437,2014,51,200,1,ALLAN
32459,2/28/2014,13-478,2013,51,200,1,ALLAN
35256,12/29/2022,186474,2023,69,400,1,ALLAN
35256,4/11/2022,22-007,2022,69,400,1,ALLAN
35256,4/26/2021,21-039,2021,69,200,1,ALLAN
35256,1/16/2020,174693,2020,69,200,1,ALLAN
35256,1/18/2019,170872,2019,69,200,1,ALLAN
35256,1/24/2018,167766,2018,69,200,1,ALLAN
35256,3/14/2017,164497,2017,69,200,1,ALLAN
35256,3/1/2016,160883,2016,69,200,1,ALLAN
35256,3/26/2015,157587,2015,69,200,1,ALLAN
35256,3/26/2015,157587,2014,69,200,1,ALLAN
35256,4/30/2014,14-019,2013,69,200,1,ALLAN
49899,1/20/2025,199746,2025,69,400,1,ALLAN
49899,1/31/2024,193512,2024,69,400,1,ALLAN
49899,12/29/2022,186474,2023,69,400,1,ALLAN
49899,4/11/2022,22-007,2022,69,400,1,ALLAN
49899,4/26/2021,21-039,2021,69,200,1,ALLAN
49899,1/16/2020,174693,2020,69,200,1,ALLAN
49899,1/18/2019,170872,2019,69,200,1,ALLAN
49899,1/24/2018,167766,2018,69,200,1,ALLAN
49899,3/14/2017,164497,2017,69,200,1,ALLAN
49899,3/1/2016,160883,2016,69,1875,1,ALLAN
49899,3/26/2015,157587,2015,69,1875,1,ALLAN
49899,3/26/2015,157587,2014,69,300,1,ALLAN
49899,3/14/2014,152931,2014,69,1425,1,CECILLE
49899,4/30/2014,14-019,2013,69,1425,1,ALLAN
49901,4/26/2021,21-039,2021,69,200,1,ALLAN
49901,1/16/2020,174693,2020,69,200,1,ALLAN
49901,1/18/2019,170872,2019,69,200,1,ALLAN
49901,1/24/2018,167766,2018,69,200,1,ALLAN
49901,3/14/2017,164497,2017,69,200,1,ALLAN
49901,3/1/2016,160883,2016,69,200,1,ALLAN
49901,3/26/2015,157587,2015,69,200,1,ALLAN
49901,10/21/2014,155548,2014,69,200,1,ALLAN
49901,4/30/2014,14-019,2013,69,200,1,ALLAN
56846,1/20/2025,199746,2025,69,400,1,ALLAN
56846,1/31/2024,193512,2024,69,400,1,ALLAN
56846,12/29/2022,186474,2023,69,400,1,ALLAN
56846,4/11/2022,22-007,2022,69,400,1,ALLAN
56846,4/26/2021,21-039,2021,69,200,1,ALLAN
56846,1/16/2020,174693,2020,69,1725,1,ALLAN
56846,1/18/2019,170872,2019,69,1725,1,ALLAN
56846,1/8/2018,167477,2018,69,1725,1,ALLAN
56846,3/14/2017,164497,2017,69,1875,1,ALLAN
56846,3/1/2016,160883,2016,69,1875,1,ALLAN
56846,3/26/2015,157587,2015,69,1875,1,ALLAN
56846,3/26/2015,157587,2014,69,1725,1,ALLAN
56846,4/30/2014,14-019,2013,69,1425,1,ALLAN
56847,1/20/2025,199746,2025,69,400,1,ALLAN
56847,1/31/2024,193512,2024,69,400,1,ALLAN
56847,12/29/2022,186474,2023,69,400,1,ALLAN
56847,4/11/2022,22-007,2022,69,400,1,ALLAN
56847,4/26/2021,21-039,2021,69,200,1,ALLAN
56847,1/16/2020,174693,2020,69,1725,1,ALLAN
56847,1/18/2019,170872,2019,69,1725,1,ALLAN
56847,1/8/2018,167477,2018,69,1725,1,ALLAN
56847,3/14/2017,164497,2017,69,1875,1,ALLAN
56847,3/1/2016,160883,2016,69,1875,1,ALLAN
56847,3/26/2015,157587,2015,69,1875,1,ALLAN
56847,10/21/2014,155548,2014,69,1725,1,ALLAN
56847,4/30/2014,14-019,2013,69,1425,1,ALLAN
57409,1/15/2025,199617,2025,51,400,1,ALLAN
57409,1/15/2024,192998,2024,51,400,1,ALLAN
57409,1/19/2023,186866,2023,51,400,1,ALLAN
57409,1/31/2022,180826,2022,51,400,1,ALLAN
57409,4/26/2021,21-036,2021,51,200,1,ALLAN
57409,1/14/2020,174589,2020,51,200,1,ALLAN
57409,2/26/2019,171339,2019,51,200,1,ALLAN
57409,3/7/2018,168289,2018,51,200,1,ALLAN
57409,3/13/2017,164480,2017,51,200,1,ALLAN
57409,2/10/2016,160667,2016,51,200,1,CECILLE
57409,1/7/2015,156315,2015,51,200,1,ALLAN
57409,4/2/2014,153250,2014,51,200,1,ALLAN
57409,6/28/2013,13-094,2013,51,200,1,ALLAN
57426,1/15/2025,199617,2025,51,2600,1,ALLAN
57426,1/15/2024,192998,2024,51,2600,1,ALLAN
57426,1/19/2023,186866,2023,51,2500,1,ALLAN
57426,1/31/2022,180826,2022,51,2500,1,ALLAN
57426,4/26/2021,21-036,2021,51,1725,1,ALLAN
57426,1/14/2020,174589,2020,51,1725,1,ALLAN
57426,2/26/2019,171339,2019,51,1725,1,ALLAN
57426,3/7/2018,168289,2018,51,1725,1,ALLAN
57426,3/13/2017,164480,2017,51,1875,1,ALLAN
57426,2/10/2016,160667,2016,51,1875,1,CECILLE
57426,3/30/2015,157657,2015,51,1875,1,ALLAN
57426,5/14/2014,153836,2014,51,1725,1,ALLAN
57426,2/28/2014,13-478,2013,51,1425,1,ALLAN
57437,3/30/2015,157657,2015,51,1875,1,ALLAN
57437,11/12/2014,155795,2014,51,1725,1,ALLAN
57437,10/11/2013,145049,2013,51,1425,1,CECILLE
57437,10/11/2013,145049,2007,51,935,1,CECILLE
58007,1/20/2025,199746,2025,69,400,1,ALLAN
58007,1/31/2024,193512,2024,69,400,1,ALLAN
58007,12/29/2022,186474,2023,69,400,1,ALLAN
58007,4/11/2022,22-007,2022,69,400,1,ALLAN
58007,4/26/2021,21-039,2021,69,200,1,ALLAN
58007,1/16/2020,174693,2020,69,1725,1,ALLAN
58007,1/18/2019,170872,2019,69,1725,1,ALLAN
58007,1/8/2018,167477,2018,69,1725,1,ALLAN
58007,3/14/2017,164497,2017,69,1875,1,ALLAN
58007,3/1/2016,160883,2016,69,1875,1,ALLAN
58007,3/26/2015,157587,2015,69,1875,1,ALLAN
58007,3/26/2015,157587,2014,69,300,1,ALLAN
58007,3/14/2014,152931,2014,69,1425,1,CECILLE
58007,4/30/2014,14-019,2013,69,1425,1,ALLAN
58098,1/15/2025,199617,2025,51,2600,1,ALLAN
58098,1/15/2024,192998,2024,51,2600,1,ALLAN
58098,1/19/2023,186866,2023,51,2500,1,ALLAN
58098,1/31/2022,180826,2022,51,2500,1,ALLAN
58098,4/26/2021,21-036,2021,51,1725,1,ALLAN
58098,1/14/2020,174589,2020,51,1725,1,ALLAN
58098,2/26/2019,171339,2019,51,1725,1,ALLAN
58098,3/7/2018,168289,2018,51,1725,1,ALLAN
58098,3/13/2017,164480,2017,51,1875,1,ALLAN
58098,2/10/2016,160667,2016,51,1875,1,CECILLE
58098,3/30/2015,157657,2015,51,1875,1,ALLAN
58098,1/7/2015,156315,2014,51,1725,1,ALLAN
58098,6/18/2013,143629,2013,51,1425,1,CECILLE
58398,11/19/2024,198847,2025,31,2600,1,ALLAN
58398,1/25/2024,193344,2024,31,2600,1,ALLAN
58398,2/17/2023,187523,2023,31,2500,1,ALLAN
58398,2/22/2022,181252,2022,31,2500,1,ALLAN
58398,2/17/2021,177790,2021,31,1725,1,ALLAN
58398,1/30/2020,175050,2020,31,1725,1,ALLAN
58398,1/7/2019,170659,2019,31,1725,1,ALLAN
58398,1/11/2018,167533,2018,31,1725,1,ALLAN
58398,1/5/2017,163486,2017,31,1875,1,ALLAN
58398,3/30/2016,161338,2016,31,1875,1,ALLAN
58398,3/30/2016,161338,2000,31,585,1,ALLAN
58725,1/15/2025,199617,2025,51,400,1,ALLAN
58725,1/15/2024,192998,2024,51,400,1,ALLAN
58725,1/19/2023,186866,2023,51,400,1,ALLAN
58725,2/28/2022,181404,2022,448,550,1,ALLAN
58725,1/31/2022,180826,2022,51,400,1,ALLAN
58725,4/26/2021,21-036,2021,51,200,1,ALLAN
58725,2/17/2021,177784,2021,448,450,1,ALLAN
58725,2/17/2021,177784,2020,448,450,1,ALLAN
58725,1/14/2020,174589,2020,51,1725,1,ALLAN
58725,7/15/2019,19-097,2019,448,450,1,ALLAN
58725,2/26/2019,171339,2019,51,1725,1,ALLAN
58725,7/15/2019,19-097,2018,448,450,1,ALLAN
58725,3/7/2018,168289,2018,51,1725,1,ALLAN
58725,3/13/2017,164480,2017,51,1875,1,ALLAN
58725,2/10/2016,160667,2016,51,1875,1,CECILLE
58725,3/30/2015,157657,2015,51,1875,1,ALLAN
58725,8/12/2014,154748,2014,51,1725,1,CECILLE
58725,2/28/2014,13-478,2013,51,1425,1,ALLAN
58957,1/20/2025,199746,2025,69,2600,1,ALLAN
58957,1/31/2024,193512,2024,69,2600,1,ALLAN
58957,12/29/2022,186474,2023,69,2500,1,ALLAN
58957,4/11/2022,22-007,2022,69,2500,1,ALLAN
58957,4/26/2021,21-039,2021,69,1725,1,ALLAN
58957,1/16/2020,174693,2020,69,1725,1,ALLAN
58957,1/16/2020,174693,2019,69,1725,1,ALLAN
58957,1/16/2020,174693,2009,69,1125,1,ALLAN
58983,1/20/2025,199746,2025,69,400,1,ALLAN
58983,1/31/2024,193512,2024,69,400,1,ALLAN
58983,12/29/2022,186474,2023,69,400,1,ALLAN
58983,4/11/2022,22-007,2022,69,2500,1,ALLAN
58983,4/26/2021,21-039,2021,69,1725,1,ALLAN
58983,1/16/2020,174693,2020,69,1725,1,ALLAN
58983,1/18/2019,170872,2019,69,1725,1,ALLAN
58983,1/8/2018,167477,2018,69,1725,1,ALLAN
58983,3/14/2017,164497,2017,69,1875,1,ALLAN
58983,3/1/2016,160883,2016,69,1875,1,ALLAN
58983,3/26/2015,157587,2015,69,1875,1,ALLAN
58983,3/26/2015,157587,2014,69,1725,1,ALLAN
58983,4/30/2014,14-019,2013,69,1425,1,ALLAN
58985,1/15/2025,199617,2025,51,2600,1,ALLAN
58985,1/15/2024,192998,2024,51,2600,1,ALLAN
58985,1/19/2023,186866,2023,51,2500,1,ALLAN
58985,1/19/2023,186866,2022,51,2500,1,ALLAN
58985,1/19/2023,186866,2008,51,1125,1,ALLAN
59064,12/19/2013,151757,2013,31,1425,1,CECILLE
59097,11/19/2024,198847,2025,31,2600,1,ALLAN
59097,1/25/2024,193344,2024,31,2600,1,ALLAN
59097,2/17/2023,187523,2023,31,2500,1,ALLAN
59097,2/22/2022,181252,2022,31,2500,1,ALLAN
59097,2/17/2021,177790,2021,31,1725,1,ALLAN
59097,1/30/2020,175050,2020,31,1725,1,ALLAN
59097,1/7/2019,170659,2019,31,1725,1,ALLAN
59097,1/11/2018,167533,2018,31,1725,1,ALLAN
59097,1/5/2017,163486,2017,31,1875,1,ALLAN
59097,3/30/2016,161338,2016,31,1875,1,ALLAN
59097,4/1/2015,157799,2015,31,1875,1,ALLAN
59097,12/3/2014,156020,2014,31,1725,1,ALLAN
59097,6/28/2013,13-090,2013,31,1425,1,ALLAN
59253,3/28/2025,434,2025,15,400,1,ALLAN
59253,2/14/2024,193859,2024,15,400,1,ALLAN
59253,2/7/2023,187280,2023,15,400,1,ALLAN
59253,2/21/2022,181212,2022,15,2500,1,ALLAN
59253,1/20/2021,177272,2021,15,1725,1,ALLAN
59253,2/14/2020,175325,2020,15,1725,1,ALLAN
59253,3/18/2019,171697,2019,15,1725,1,ALLAN
59253,2/26/2018,168180,2018,15,1725,1,ALLAN
59253,3/15/2017,164578,2017,15,1875,1,ALLAN
59253,3/28/2016,161323,2016,15,1875,1,ALLAN
59253,3/31/2015,157758,2015,15,1875,1,ALLAN
59253,2/26/2015,157094,2014,15,1725,1,ALLAN
59253,1/3/2014,151854,2013,15,1425,1,ALLAN
59281,11/19/2024,198847,2025,31,2600,1,ALLAN
59281,1/25/2024,193344,2024,31,2600,1,ALLAN
59281,2/17/2023,187523,2023,31,2500,1,ALLAN
59281,2/22/2022,181252,2022,31,2500,1,ALLAN
59281,2/17/2021,177790,2021,31,1725,1,ALLAN
59281,1/30/2020,175050,2020,31,1725,1,ALLAN
59281,1/7/2019,170659,2019,31,1725,1,ALLAN
59281,1/11/2018,167533,2018,31,1725,1,ALLAN
59281,1/5/2017,163486,2017,31,1875,1,ALLAN
59281,10/29/2015,15-297,2016,31,1875,1,ALLAN
59281,4/1/2015,157799,2015,31,1875,1,ALLAN
59281,11/19/2014,155881,2014,31,1725,1,ALLAN
59281,11/19/2014,155881,2005,31,885,1,ALLAN
59639,3/28/2025,434,2025,15,2600,1,ALLAN
59639,2/14/2024,193859,2024,15,2600,1,ALLAN
59639,2/7/2023,187280,2023,15,2500,1,ALLAN
59639,2/21/2022,181212,2022,15,2500,1,ALLAN
59639,1/20/2021,177272,2021,15,1725,1,ALLAN
59639,2/14/2020,175325,2020,15,1725,1,ALLAN
59639,3/18/2019,171697,2019,15,1725,1,ALLAN
59639,2/26/2018,168180,2018,15,1725,1,ALLAN
59639,3/15/2017,164578,2017,15,1875,1,ALLAN
59639,3/28/2016,161323,2016,15,1875,1,ALLAN
59639,3/28/2016,161323,2015,15,1875,1,ALLAN
59921,2/10/2016,160667,2016,51,1875,1,CECILLE
59921,3/30/2015,157657,2015,51,1875,1,ALLAN
59921,1/7/2015,156315,2014,51,1725,1,ALLAN
59921,5/22/2013,143316,2013,51,1425,1,ALLAN
59927,1/20/2025,199746,2025,69,400,1,ALLAN
59927,1/31/2024,193512,2024,69,400,1,ALLAN
59927,12/29/2022,186474,2023,69,2500,1,ALLAN
59927,4/11/2022,22-007,2022,69,2500,1,ALLAN
59927,4/26/2021,21-039,2021,69,1725,1,ALLAN
59927,1/16/2020,174693,2020,69,1725,1,ALLAN
59927,1/18/2019,170872,2019,69,1725,1,ALLAN
59927,1/8/2018,167477,2018,69,1725,1,ALLAN
59927,3/14/2017,164497,2017,69,1875,1,ALLAN
59927,3/1/2016,160883,2016,69,1875,1,ALLAN
59927,3/26/2015,157587,2015,69,1875,1,ALLAN
59927,3/26/2015,157587,2014,69,1725,1,ALLAN
59927,4/30/2014,14-019,2013,69,1425,1,ALLAN
60015,11/19/2024,198847,2025,31,2600,1,ALLAN
60015,1/25/2024,193344,2024,31,2600,1,ALLAN
60015,3/7/2023,187908,2023,31,2500,1,ALLAN
60015,2/22/2022,181252,2022,31,2500,1,ALLAN
60015,2/17/2021,177790,2021,31,1725,1,ALLAN
60015,1/30/2020,175050,2020,31,1725,1,ALLAN
60015,1/7/2019,170659,2019,31,1725,1,ALLAN
60015,1/11/2018,167533,2018,31,1725,1,ALLAN
60015,1/5/2017,163486,2017,31,1875,1,ALLAN
60015,3/30/2016,161338,2016,31,1875,1,ALLAN
60015,4/1/2015,157799,2015,31,1875,1,ALLAN
60015,12/17/2014,156184,2014,31,1725,1,CECILLE
60015,6/28/2013,13-090,2013,31,1425,1,ALLAN
60076,11/19/2024,198847,2025,31,2600,1,ALLAN
60076,1/25/2024,193344,2024,31,2600,1,ALLAN
60076,2/17/2023,187523,2023,31,2500,1,ALLAN
60076,2/22/2022,181252,2022,31,2500,1,ALLAN
60076,2/17/2021,177790,2021,31,1725,1,ALLAN
60076,1/30/2020,175050,2020,31,1725,1,ALLAN
60076,1/7/2019,170659,2019,31,1725,1,ALLAN
60076,1/11/2018,167533,2018,31,1725,1,ALLAN
60076,1/5/2017,163486,2017,31,1875,1,ALLAN
60076,3/30/2016,161338,2016,31,1875,1,ALLAN
60076,4/1/2015,157799,2015,31,1875,1,ALLAN
60076,8/29/2014,154918,2014,31,1725,1,CECILLE
60076,12/19/2013,151757,2013,31,1425,1,CECILLE
60081,11/19/2024,198847,2025,31,2600,1,ALLAN
60081,1/25/2024,193344,2024,31,2600,1,ALLAN
60081,2/17/2023,187523,2023,31,2500,1,ALLAN
60081,2/22/2022,181252,2022,31,2500,1,ALLAN
60081,2/17/2021,177790,2021,31,1725,1,ALLAN
60081,1/30/2020,175050,2020,31,1725,1,ALLAN
60081,1/7/2019,170659,2019,31,1725,1,ALLAN
60081,1/11/2018,167533,2018,31,1725,1,ALLAN
60081,1/5/2017,163486,2017,31,1875,1,ALLAN
60081,3/30/2016,161338,2016,31,1875,1,ALLAN
60081,1/26/2015,156623,2015,31,1875,1,ALLAN
60081,1/12/2015,156381,2014,31,1725,1,CECILLE
60081,6/28/2013,13-090,2013,31,1425,1,ALLAN
60182,11/19/2024,198847,2025,31,2600,1,ALLAN
60182,1/25/2024,193344,2024,31,2600,1,ALLAN
60182,2/17/2023,187523,2023,31,2500,1,ALLAN
60182,2/22/2022,181252,2022,31,2500,1,ALLAN
60182,2/17/2021,177790,2021,31,1725,1,ALLAN
60182,1/30/2020,175050,2020,31,1725,1,ALLAN
60182,1/7/2019,170659,2019,31,1725,1,ALLAN
60182,1/11/2018,167533,2018,31,1725,1,ALLAN
60182,1/5/2017,163486,2017,31,1875,1,ALLAN
60182,3/30/2016,161338,2016,31,1875,1,ALLAN
60182,4/1/2015,157799,2015,31,1875,1,ALLAN
60182,12/22/2014,156249,2014,31,1725,1,CECILLE
60182,10/1/2013,144890,2013,31,1425,1,ALLAN
60182,10/1/2013,144890,2011,31,1125,1,ALLAN
60281,11/19/2024,198847,2025,31,2600,1,ALLAN
60281,1/25/2024,193344,2024,31,2600,1,ALLAN
60281,2/17/2023,187523,2023,31,2500,1,ALLAN
60281,2/17/2023,187523,2022,31,2500,1,ALLAN
60281,2/17/2023,187523,2021,31,1725,1,ALLAN
60281,2/17/2023,187523,1998,31,515,1,ALLAN
60282,11/19/2024,198847,2025,31,2600,1,ALLAN
60282,1/25/2024,193344,2024,31,2600,1,ALLAN
60282,2/17/2023,187523,2023,31,2500,1,ALLAN
60282,2/22/2022,181252,2022,31,2500,1,ALLAN
60282,2/17/2021,177790,2021,31,1725,1,ALLAN
60282,1/30/2020,175050,2020,31,1725,1,ALLAN
60282,1/7/2019,170659,2019,31,1725,1,ALLAN
60282,1/11/2018,167533,2018,31,1725,1,ALLAN
60282,1/5/2017,163486,2017,31,1875,1,ALLAN
60282,3/30/2016,161338,2016,31,1875,1,ALLAN
60282,8/25/2015,159041,2015,31,1875,1,CECILLE
60282,8/25/2015,159041,2011,31,1125,1,CECILLE
60340,11/19/2024,198847,2025,31,2600,1,ALLAN
60340,1/25/2024,193344,2024,31,2600,1,ALLAN
60340,2/17/2023,187523,2023,31,2500,1,ALLAN
60340,2/22/2022,181252,2022,31,2500,1,ALLAN
60340,2/17/2021,177790,2021,31,1725,1,ALLAN
60340,1/30/2020,175050,2020,31,1725,1,ALLAN
60340,1/7/2019,170659,2019,31,1725,1,ALLAN
60340,1/11/2018,167533,2018,31,1725,1,ALLAN
60340,1/5/2017,163486,2017,31,1875,1,ALLAN
60340,3/30/2016,161338,2016,31,1875,1,ALLAN
60340,4/1/2015,157799,2015,31,1875,1,ALLAN
60340,8/1/2014,154585,2014,31,1725,1,CECILLE
60340,12/19/2013,151757,2013,31,1425,1,CECILLE
60807,6/28/2013,13-090,2013,31,1425,1,ALLAN
60808,3/4/2025,200856,2025,31,400,1,CECILLE
60808,1/25/2024,193344,2024,31,2600,1,ALLAN
60808,2/17/2023,187523,2023,31,2500,1,ALLAN
60808,2/22/2022,181252,2022,31,2500,1,ALLAN
60808,2/17/2021,177790,2021,31,1725,1,ALLAN
60808,1/30/2020,175050,2020,31,1725,1,ALLAN
60808,1/7/2019,170659,2019,31,1725,1,ALLAN
60808,1/11/2018,167533,2018,31,1725,1,ALLAN
60808,1/5/2017,163486,2017,31,1875,1,ALLAN
60808,3/30/2016,161338,2016,31,1875,1,ALLAN
60808,1/26/2015,156623,2015,31,1875,1,ALLAN
60808,7/2/2014,154277,2014,31,1725,1,CECILLE
60808,9/12/2013,144685,2013,31,1425,1,CECILLE
60809,11/19/2024,198847,2025,31,400,1,ALLAN
60809,1/25/2024,193344,2024,31,400,1,ALLAN
60809,2/17/2023,187523,2023,31,2500,1,ALLAN
60809,2/22/2022,181252,2022,31,2500,1,ALLAN
60809,2/17/2021,177790,2021,31,1725,1,ALLAN
60809,1/30/2020,175050,2020,31,1725,1,ALLAN
60809,1/7/2019,170659,2019,31,1725,1,ALLAN
60809,1/11/2018,167533,2018,31,1725,1,ALLAN
60809,1/5/2017,163486,2017,31,1875,1,ALLAN
60809,3/30/2016,161338,2016,31,1875,1,ALLAN
60809,4/1/2015,157799,2015,31,1875,1,ALLAN
60809,10/8/2014,155350,2014,31,1725,1,ALLAN
60809,12/19/2013,151757,2013,31,1425,1,CECILLE
61229,3/28/2025,434,2025,15,2600,1,ALLAN
61229,2/14/2024,193859,2024,15,2600,1,ALLAN
61229,2/7/2023,187280,2023,15,2500,1,ALLAN
61229,2/21/2022,181212,2022,15,2500,1,ALLAN
61453,8/6/2025,2322,2026,31,2850,1,CECILLE
61453,11/19/2024,198847,2025,31,2600,1,ALLAN
