ID,Date of Payment (Payment),OR Number (Payment),Year (Payment),Lodge (Payment),Amount (Payment),Posted (Payment),User (Payment)
4030,2/28/2014,13-478,2013,51,1425,1,ALLAN
4243,1/15/2025,199617,2025,51,2600,1,ALLAN
4243,1/15/2024,192998,2024,51,2600,1,ALLAN
4243,1/19/2023,186866,2023,51,2500,1,ALLAN
4243,1/31/2022,180826,2022,51,2500,1,ALLAN
4243,4/26/2021,21-036,2021,51,1725,1,ALLAN
4243,1/14/2020,174589,2020,51,1725,1,ALLAN
4243,2/26/2019,171339,2019,51,1725,1,ALLAN
4243,3/7/2018,168289,2018,51,1725,1,ALLAN
4243,3/13/2017,164480,2017,51,1875,1,ALLAN
4243,2/10/2016,160667,2016,51,1875,1,CECILLE
4243,3/30/2015,157657,2015,51,1875,1,ALLAN
4243,5/14/2014,153836,2014,51,1725,1,ALLAN
4243,5/22/2013,143316,2013,51,1425,1,ALLAN
4281,1/20/2025,199746,2025,69,2600,1,ALLAN
4281,1/31/2024,193512,2024,69,2600,1,ALLAN
4281,12/29/2022,186474,2023,69,2500,1,ALLAN
4281,4/11/2022,22-007,2022,69,2500,1,ALLAN
4281,4/26/2021,21-039,2021,69,1725,1,ALLAN
4281,1/16/2020,174693,2020,69,1725,1,ALLAN
4281,1/18/2019,170872,2019,69,1725,1,ALLAN
4281,1/8/2018,167477,2018,69,1725,1,ALLAN
4281,3/14/2017,164497,2017,69,1875,1,ALLAN
4281,3/1/2016,160883,2016,69,1875,1,ALLAN
4281,3/26/2015,157587,2015,69,1875,1,ALLAN
4281,3/26/2015,157587,2014,69,1725,1,ALLAN
4281,4/30/2014,14-019,2013,69,1425,1,ALLAN
4353,1/15/2025,199617,2025,51,2600,1,ALLAN
4353,1/15/2025,199617,2024,51,2600,1,ALLAN
4353,1/15/2025,199617,2013,51,1225,1,ALLAN
4354,2/26/2019,171339,2019,51,1725,1,ALLAN
4354,3/7/2018,168289,2018,51,1725,1,ALLAN
4354,11/28/2017,166823,2017,51,1875,1,CECILLE
4354,2/10/2016,160667,2016,51,1875,1,CECILLE
4354,3/30/2015,157657,2015,51,1875,1,ALLAN
4354,1/7/2015,156315,2014,51,1725,1,ALLAN
4354,12/17/2013,151708,2013,51,1425,1,CECILLE
4397,1/20/2025,199746,2025,69,400,1,ALLAN
4397,1/31/2024,193512,2024,69,400,1,ALLAN
4397,12/29/2022,186474,2023,69,400,1,ALLAN
4397,4/11/2022,22-007,2022,69,400,1,ALLAN
4397,2/28/2022,181404,2022,448,550,1,ALLAN
4397,4/26/2021,21-039,2021,69,200,1,ALLAN
4397,2/17/2021,177784,2021,448,450,1,ALLAN
4397,2/17/2021,177784,2020,448,450,1,ALLAN
4397,1/16/2020,174693,2020,69,200,1,ALLAN
4397,7/15/2019,19-097,2019,448,450,1,ALLAN
4397,1/18/2019,170872,2019,69,200,1,ALLAN
4397,7/15/2019,19-097,2018,448,450,1,ALLAN
4397,1/8/2018,167477,2018,69,1725,1,ALLAN
4397,3/14/2017,164497,2017,69,1875,1,ALLAN
4397,3/1/2016,160883,2016,69,1875,1,ALLAN
4397,3/26/2015,157587,2015,69,1875,1,ALLAN
4397,3/26/2015,157587,2014,69,1725,1,ALLAN
4397,4/30/2014,14-019,2013,69,1425,1,ALLAN
4714,11/19/2024,198847,2025,31,400,1,ALLAN
4714,1/25/2024,193344,2024,31,400,1,ALLAN
4714,3/7/2023,187908,2023,31,400,1,ALLAN
4714,2/22/2022,181252,2022,31,400,1,ALLAN
4714,2/17/2021,177790,2021,31,200,1,ALLAN
4714,1/30/2020,175050,2020,31,200,1,ALLAN
4714,1/7/2019,170659,2019,31,200,1,ALLAN
4714,1/11/2018,167533,2018,31,200,1,ALLAN
4714,1/5/2017,163486,2017,31,200,1,ALLAN
4714,3/30/2016,161338,2016,31,200,1,ALLAN
4714,4/14/2014,153449,2013,31,200,1,CECILLE
4823,3/28/2025,434,2025,15,2600,1,ALLAN
4823,2/14/2024,193859,2024,15,2600,1,ALLAN
4823,2/7/2023,187280,2023,15,2500,1,ALLAN
4823,2/21/2022,181212,2022,15,2500,1,ALLAN
4823,1/20/2021,177272,2021,15,1725,1,ALLAN
4823,2/14/2020,175325,2020,15,1725,1,ALLAN
4823,3/18/2019,171697,2019,15,1725,1,ALLAN
4823,2/26/2018,168180,2018,15,1725,1,ALLAN
4823,3/15/2017,164578,2017,15,1875,1,ALLAN
4823,3/28/2016,161323,2016,15,1875,1,ALLAN
4823,3/31/2015,157758,2015,15,1875,1,ALLAN
4823,2/26/2015,157094,2014,15,1725,1,ALLAN
4823,3/6/2014,152776,2013,15,1425,1,ALLAN
4885,1/20/2021,177272,2021,15,200,1,ALLAN
4885,2/14/2020,175325,2020,15,200,1,ALLAN
4885,3/18/2019,171697,2019,15,200,1,ALLAN
4885,2/26/2018,168180,2018,15,200,1,ALLAN
4885,3/15/2017,164578,2017,15,200,1,ALLAN
4885,3/28/2016,161323,2016,15,200,1,ALLAN
4885,3/31/2015,157758,2015,15,200,1,ALLAN
4885,2/26/2015,157094,2014,15,200,1,ALLAN
4885,3/6/2014,152776,2013,15,200,1,ALLAN
5519,3/28/2025,434,2025,15,400,1,ALLAN
5519,2/14/2024,193859,2024,15,400,1,ALLAN
5519,2/7/2023,187280,2023,15,400,1,ALLAN
5519,2/21/2022,181212,2022,15,400,1,ALLAN
5519,1/20/2021,177272,2021,15,200,1,ALLAN
5519,2/14/2020,175325,2020,15,200,1,ALLAN
5519,3/18/2019,171697,2019,15,200,1,ALLAN
5519,2/26/2018,168180,2018,15,200,1,ALLAN
5519,3/15/2017,164578,2017,15,200,1,ALLAN
5519,3/28/2016,161323,2016,15,200,1,ALLAN
5519,3/31/2015,157758,2015,15,200,1,ALLAN
5519,2/26/2015,157094,2014,15,200,1,ALLAN
5519,3/6/2014,152776,2013,15,200,1,ALLAN
5523,3/28/2016,161323,2016,15,200,1,ALLAN
5523,3/31/2015,157758,2015,15,200,1,ALLAN
5523,2/26/2015,157094,2014,15,200,1,ALLAN
5523,3/6/2014,152776,2013,15,200,1,ALLAN
5544,3/28/2025,434,2025,15,2600,1,ALLAN
5544,2/14/2024,193859,2024,15,2600,1,ALLAN
5544,2/7/2023,187280,2023,15,2500,1,ALLAN
5544,2/21/2022,181212,2022,15,2500,1,ALLAN
5544,1/20/2021,177272,2021,15,1725,1,ALLAN
5544,2/14/2020,175325,2020,15,1725,1,ALLAN
5544,3/18/2019,171697,2019,15,1725,1,ALLAN
5544,2/26/2018,168180,2018,15,1725,1,ALLAN
5544,3/15/2017,164578,2017,15,1875,1,ALLAN
5544,3/28/2016,161323,2016,15,1875,1,ALLAN
5544,3/31/2015,157758,2015,15,1875,1,ALLAN
5544,2/26/2015,157094,2014,15,300,1,ALLAN
5544,2/4/2014,152349,2014,15,1425,1,CECILLE
5544,3/6/2014,152776,2013,15,1425,1,ALLAN
5544,2/4/2014,152349,1991,15,276,1,CECILLE
5573,3/28/2025,434,2025,15,2600,1,ALLAN
5573,2/14/2024,193859,2024,15,2600,1,ALLAN
5573,2/7/2023,187280,2023,15,2500,1,ALLAN
5573,2/21/2022,181212,2022,15,2500,1,ALLAN
5573,1/20/2021,177272,2021,15,1725,1,ALLAN
5573,1/20/2021,177272,2020,15,1725,1,ALLAN
5573,1/20/2021,177272,1996,15,421,1,ALLAN
6787,3/31/2015,157758,2015,15,200,1,ALLAN
6787,2/26/2015,157094,2014,15,200,1,ALLAN
6787,3/6/2014,152776,2013,15,200,1,ALLAN
7698,3/28/2016,161323,2016,15,200,1,ALLAN
7698,3/31/2015,157758,2015,15,200,1,ALLAN
7698,2/26/2015,157094,2014,15,200,1,ALLAN
7698,3/6/2014,152776,2013,15,200,1,ALLAN
7703,3/28/2025,434,2025,15,400,1,ALLAN
7703,2/14/2024,193859,2024,15,400,1,ALLAN
7703,2/7/2023,187280,2023,15,400,1,ALLAN
7703,2/21/2022,181212,2022,15,2500,1,ALLAN
7703,1/20/2021,177272,2021,15,1725,1,ALLAN
7703,2/14/2020,175325,2020,15,1725,1,ALLAN
7703,3/18/2019,171697,2019,15,1725,1,ALLAN
7703,2/26/2018,168180,2018,15,1725,1,ALLAN
7703,3/15/2017,164578,2017,15,1875,1,ALLAN
7703,3/28/2016,161323,2016,15,1875,1,ALLAN
7703,3/31/2015,157758,2015,15,1875,1,ALLAN
7703,2/26/2015,157094,2014,15,1725,1,ALLAN
7703,3/6/2014,152776,2013,15,1425,1,ALLAN
7723,3/28/2016,161323,2016,15,200,1,ALLAN
7723,3/31/2015,157758,2015,15,200,1,ALLAN
7723,2/26/2015,157094,2014,15,200,1,ALLAN
7723,3/6/2014,152776,2013,15,200,1,ALLAN
