ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
23748,RESTORED,06/02/2012,,,,,,
24501,EXPELLED,09/18/2006,,,,,,
24542,,,HONORARY LODGE,69,,,,
24563,RESTORED,10/10/2004,,,,,,
24583,,,DUAL LODGE,173,,,,
24593,,,CHARTER LODGE,282,,,,
24608,SNPD,12/14/1968,,,,,,
24657,RESTORED,07/12/2014,,,,,,
24771,RESTORED,01/14/2023,,,,,,
24829,RESTORED,01/09/2010,,,,,,
24830,RESTORED,01/13/2018,,,,,,
24846,SNPD,12/11/1999,,,,,,
24864,,,CHARTER LODGE,282,,,,
24934,RESTORED,10/09/2004,,,,,,
24967,,,DUAL LODGE,150,12/31/1984,,,
24976,,,CHARTER LODGE,352,,,,
24989,RESTORED,01/09/2010,,,,,,
24993,RESTORED,03/08/2014,,,,,,
25033,SNPD,12/08/2001,,,,,,
25034,,,DUAL LODGE,282,,1,,
29460,DEMITTED,08/13/2016,,,,,,
32460,,,CHARTER LODGE,346,,,,
32544,,,DUAL LODGE,115,09/10/1988,,,
57409,,,CHARTER LODGE,346,,,,
58117,,,CHARTER LODGE,325,,,,
58398,RESTORED,03/19/2016,,,,,,
58957,RESTORED,05/04/2019,,,,,,
58985,RESTORED,11/12/2022,,,,,,
59065,,,HONORARY LODGE,269,,,,
59067,EXPELLED,09/18/2006,,,,,,
59524,,,DUAL LODGE,67,,,,
60182,RESTORED,09/28/2013,,,,,,
60185,,,CHARTER LODGE,346,,,,
60282,RESTORED,08/22/2015,,,,,,
60589,,,DUAL LODGE,179,03/13/2010,,,
61453,DEMITTED,10/06/2022,,,,,,
61687,,,HONORARY LODGE,269,,,,
61966,RESTORED,04/13/2019,,,,,,
62021,RESTORED,07/24/2010,,,,,,
62610,DEMITTED,06/10/2016,,,,,,
62795,RESTORED,04/22/2017,,,,,,
62797,RESTORED,11/12/2011,,,,,,
62872,RESTORED,06/02/2012,,,,,,
62881,,,HONORARY LODGE,269,,,,
63162,,,HONORARY LODGE,269,,,,
63181,RESTORED,12/09/2017,,,,,,
63266,RESTORED,06/27/2015,,,,,,
63550,,,DUAL LODGE,448,,,,
63781,RESTORED,10/03/2015,,,,,,
63975,EXPELLED,09/07/2006,,,,,,
64307,RESTORED,09/11/2010,,,,,,
64336,,,DUAL LODGE,448,,,,
64616,RESTORED,01/13/2018,,,,,,
65005,,,DUAL LODGE,370,,,,
65022,,,CHARTER LODGE,346,,,,
65200,RESTORED,01/24/2015,,,,,,
65394,RESTORED,07/25/2015,,,,,,
65659,,,DUAL LODGE,447,,,,
65660,,,DUAL LODGE,350,,,,
65771,RESTORED,02/15/2019,,,,,,
65875,RESTORED,09/03/2016,,,,,,
66259,,,DUAL LODGE,345,11/05/2004,,,
66506,,,DUAL LODGE 2,478,,,,
66933,,,DUAL LODGE,407,,,,
66956,RESTORED,01/24/2015,,,,,,
