ID,Date (Activities),Type (Activities),Action (Activities),Notes (Activities)
4885,12/03/2013,Regular,Accepted,CHAIRMAN (COMMITTEE ON FOREIGN RELATIONS & CORRESPONDENCE) 2013 [JEN];
4885,12/03/2013,Regular,Accepted,MEMBER (COMMITTEE ON CAVITE AFFAIRS) 2013 [JEN];
4885,05/10/2016,Regular,Accepted,VICE-CHAIRMAN (BOARD FOR GEN. PURPOSES) 2015 [JEN];
4885,06/01/2016,Regular,Accepted,Member (Board for Gen. Purposes) 2016 [ann];
4885,06/11/2018,Regular,Accepted,BOARD OF GENERAL 2018
4885,05/07/2021,Regular,Accepted,"HIRAM ISSUED 05/06/2021 PER LODGE RESOLUTION APPROVED BY MW DANILO D. ANGELES, PGM, GRAND SECRETARY 04/07/2021 [JOEL]"
4885,05/11/2021,Regular,Accepted,"50 YEAR CERT AND PIN ISSUED 05/10/21 APPROVED BY MW DANILO D. ANGELES, PGM 04/07/2021 [JOEL]["
4885,11/11/2021,Regular,Accepted,DECEASED [15] MMR 11/2021- CIR. 11/20/2021 [JOEL]
5523,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
5544,02/08/2014,Regular,Accepted,REST (15) PER MMR 02/01/14 - CIR. 02/10/14 [JEN]; 
5544,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
5564,\N,Regular,Accepted,SNPD PER 2010 AR [ann]; 
5573,06/23/2020,Regular,Accepted,RESTORED [15] MMR 01/25/2020- CIR. 06/30/2020 [JOEL]
6588,03/31/2014,Regular,Accepted,DECEASED (31) PER MMR 02/22/14 - CIR. 02/28/14 [JEN]; 
6787,07/07/2016,Regular,Accepted,Decesed (15) 05/12/14 per 2015 AR [ann];
7698,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
7703,02/10/2022,Regular,Accepted,LML CERT APRON AND PIN ISSUED 01/27/2022 S.I NO. 215001 [JOEL]
7723,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
7733,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
7735,07/20/2015,Regular,Accepted,DECEASED (15) PER MMR 05/08/15 - CIR. 07/10/15 [JEN];
7736,\N,Regular,Accepted,DECEASED (15) RECD. PER 2010 AR [ann]; 
7753,12/10/2021,Regular,Accepted,RESTORED [15] MMR 11/06/2021 CIR. 12/10/2021 [JOEL]
7771,10/06/2022,Regular,Accepted,DECEASED [15] MMR 08/2022 CIR. 10/10/2022 [JOEL]
7779,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
7804,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
7818,10/30/2013,Regular,Accepted,UPDATE RECORDS (CHANGE OF ADD) PER BUSINESS CARD C/O VW JOBY [JEN];
7850,07/06/2015,Regular,Accepted,RESTORED (15) PER EDICT NO. 233-P OF MW RENTOY DTD 06/23/15 [JEN];
7850,02/16/2016,Regular,Accepted,REST (15) PER MMR 08/01/15 - CIR. 01/30/16 [JEN];
7915,06/29/2011,Regular,Accepted,REST (15) 01/08/11 PER MMR 01/08/11 - CIR. 06/30/11 [ann]; 
7927,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
7927,02/27/2020,Regular,Accepted,RESTORED [15] MMR 12/07/19- CIR. 06/20/2020 [MON]
7955,08/31/2016,Regular,Accepted,UPDATE RECORD (CHANGE OF CONTACT NOS. EMPLOYMENT INFO) PER GLP UPDATE FORM [ROSE;]
7962,01/13/2017,Regular,Accepted,DECEASED (15) PER MMR 05/07/16 - CIR. 12/30/16 [JEN];
7977,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8009,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8033,10/18/2010,Regular,Accepted,SNPD (15) 01/09/10 PER 2009 AR (ann); 
8035,09/13/2010,Regular,Accepted,"SNPD NULL AND VOID PER LTR OF MW ANGELES, GS DTD 09/16/10 (ann); "
8035,12/01/2020,Dimitted,Accepted,LML CERT AND PIN ISSUED 11/12/2020 S.I NO. 209838 [JOEL]
8050,03/30/2015,Regular,Accepted,REST (15) PER MMR 12/06/14 - CIR. 03/20/15 [JEN];
8066,\N,Regular,Accepted,SNPD PER 2010 AR [ann]; 
8069,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8071,05/21/2025,Petitioner,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
8075,09/14/2018,Regular,Accepted,REST(15) MMR 08/04/18- CIR. 09/20/18(JOEL)
8092,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8093,12/18/2023,Regular,Accepted,DECEASED [15] MMR 09/2023 CIR 12/20/2023 [JOEL]
8101,12/14/2011,Regular,Accepted,REST. (15) 09/03/11 PER MMR 09/03/11 - CIRC. 11/20/11 [ANN] 
8108,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8108,08/30/2018,Petitioner,No Action,"SUSPENSION NULL & VOID & RESTORING HIM TO ACTIVE STATUS AS PER\
RECOMMENDATION OF GS ANGELES DTD 08/05/18 APPROVED BY GM RSM\
08/29/2018 (MENG)"
8108,01/19/2019,Regular,Accepted,RESTORED(15) MMR 12/01/18- CIR. 01/20/19 [JOEL]
8111,06/20/2011,Regular,Accepted,REST (15) 03/05/11 PER CIR. 06/20/11 {ann}; 
8161,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
8162,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
8165,12/14/2017,Regular,Accepted,RESTORED(15) PER MMR 08/12/17- CIR. 12/10/17(FOX)
8178,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8179,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8222,01/05/2017,Regular,Accepted,SNPD (31) PER MMR 12/17/16 - CIR. 12/30/16 [JEN];
8233,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8238,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
8245,10/18/2010,Regular,Accepted,SNPD (15) 01/09/10 PER 2009 AR (ann); 
8286,03/11/2020,Regular,Accepted,"RECORD OF SUSPENSION FROM DECEMBER 01 2007 WITH RESTORATION APRIL 4, 2009 IS NULL AND VOID DUE TO ERRONEOUSLY REPORTED BY THE LODGE SECRETARY PER MEMORANDUM DTD. OCTOBER 10, 2019 SUBMITTED BY VW OLIVER V. YABUT, ASST GRAND SECRETARY approved by mw agapito s. suan, grand master, attested by mw danilo d. angeles, pgm, grand secretary [joel]"
8311,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
8352,11/18/2013,Regular,Accepted,REST (15) PER MMR 07/06/13 - CIR. 11/10/13 [JEN];
8352,01/13/2015,Regular,Accepted,UPDATE RECORD (CHANGE OF ADD) PER GLP MEMBER DATA UPDATE FROM [JEN];
8352,11/08/2016,Regular,Accepted,"UPDATE RECORD (CHANGE KIN, KIN ADDRESS, CHANGE YR. OF BDAY, ADD CHILDREN) PER MASONIC RECORD [MEL];"
8352,12/21/2016,Regular,Accepted,MM CERT (15) ISSUED PER SI# 189511 DTD 12/02/16 [NAZ];
8365,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
9717,11/06/2015,Dual,No Action,FROM EMILIO AGUINALDO MEM. NO. 31
9717,11/06/2015,Dual,No Action,PER. FOR PLM W/ (352) RCVD. 09/21/15 - CIR. 10/10/15 [JEN];
9717,06/22/2018,Dual,No Action,PLM REJECTED(352) CIR. 06/30/18(JOEL)
10136,01/24/2013,Regular,Accepted,SNPD (69) PER 2012 AR [JEN];
12332,07/25/2024,Regular,Accepted,RESTORED [ 31 ] MMR 06/2024 CIR 07/30/2024 [JOEL]
12343,08/10/2010,Regular,Accepted,SNPD (31) 12/31/09 PER MMR 07/24/10 - CIR. 08/10/10 (ann); 
12343,06/14/2012,Regular,Accepted,DECEASED (31) PER MMR 05/26/12 - CIR. 06/10/12 [JEN];
12389,01/24/2013,Regular,Accepted,SNPD (69) PER 2012 AR [JEN];
12431,08/10/2010,Regular,Accepted,REST (31) 07/24/09 PER MMR 07/24/10 - CIR. 08/10/10 (ann); 
12431,04/03/2012,Regular,Accepted,SNPD (31) PER 2011 AR [JEN];
12431,12/27/2013,Regular,Accepted,DECEASED (31) PER MMR 12/14/13 - CIR. 12/30/13 [JEN];
12439,03/06/2014,Regular,Accepted,DECEASED (31) PER MMR 02/22/14 - CIR. 02/28/14 [JEN]; 
12455,02/27/2015,Regular,Accepted,REST (31) PER MMR 01/24/15 - CIR. 02/20/15 [JEN];
12455,08/09/2016,Regular,Accepted,DECEASED (31) PER MMR 06/25/16 - CIR. 07/10/16 [JEN];
12512,08/10/2010,Regular,Accepted,SNPD (31) 12/31/09 PER MMR 07/24/10 - CIR. 08/10/10 (ann); 
12512,06/10/2011,Regular,Accepted,REST (31) 04/25/11 PER MMR 05/28/11 - CIR. 06/10/11 [ann]; 
12512,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
12527,\N,Regular,Accepted,SNPD (31) PER 2011 AR [JEN];
12551,08/10/2010,Regular,Accepted,SNPD (31) 12/31/09 PER MMR 07/24/10 - CIR. 08/10/10 (ann); 
12563,01/24/2024,Regular,Accepted,DECEASED [31] MMR 12/2023 CIR 01/30/2024 [JOEL]
12565,09/23/2011,Regular,Accepted,SNPD (31) NULL AND VOID NOTED BY AGS PASCUA 09/23/11 PER RETRIEVED REPORTS OF 05/14/88 [ann]; 
12565,02/02/2015,Regular,Accepted,SNPD (31) 12/20/14 PER 2014 AR; PER MMR 12/20/14 - CIR. 02/20/15 [JEN];
12976,08/11/2017,Regular,Accepted,REST (31) PER MMR 07/15/17 - CIR. 07/30/17 [JEN];
12996,06/10/2011,Regular,Accepted,REST (31) 04/25/11 PER MMR 05/28/11 - CIR. 06/10/11 [ann]; 
12996,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR [JEN];
13010,04/01/2014,Regular,Accepted,REST (31) PER MMR 03/22/14 - CIR. 03/30/14 [JEN]; 
13010,03/14/2017,Regular,Accepted,UPDATE RECORD (CHANGE OF ADD) FOR GLP MEMBERS UPDATE FORM [JEN];
13010,03/14/2017,Regular,Accepted,UPDATE RECORD (ADD CHILD) FOR GLP MEMBERS UPDATE FORM [JEN];
13010,08/15/2019,Regular,Accepted,PM CERT (31) ISSUED PER SI NO.202448 DTD (03/02/19) (ANN)
13010,05/21/2021,Regular,Accepted,GLI [69] MY 2019-2021 ALEX
13010,05/26/2021,Regular,Accepted,DGL [MD- RIV ] MY 2021-2022 [JOEL]
13010,11/10/2022,Honorary,Accepted,HONORARY CERT ISSUED 10/20/2022 S.I NO. 220490 [JOEL] 
13010,06/07/2023,Regular,Accepted,GLI (448) MY 2022-2023 (SALVADOR)
13010,07/28/2023,Honorary,Accepted,HONORARY CERT ISSUED 07/04/2023 [JOEL]
13010,05/20/2024,Regular,Accepted,MM CERT ISSUED 04/01/2022; PROF EXAM 05/08/1989 [JOEL]
13010,02/06/2025,Regular,Accepted,"AS PER COMMITTEE ON GRIEVANCE REPORT, 93rd ANNUAL COMMUNICATION 2009 CAGAYAN DE ORO CITY, THE SUSPENSION OF THE RESPONDENT ARE HEREBY AFFIRMED. HOWEVER, THE ACCESSORY PENALTIES IMPOSED UPON HIM ARE NULLIFIED & SET ASIDE. [JOEL]"
13010,05/16/2025,Regular,Accepted,Gli [51 ] My 2023-2024 [April]
13010,05/17/2025,Regular,No Action,"DDGM, RIV CAVITE (EAST) MY 2025 - 2026"
13034,06/10/2011,Regular,Accepted,REST (31) 04/25/11 PER MMR 05/28/11 - CIR. 06/10/11 [ann]; 
13034,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
13034,04/01/2014,Regular,Accepted,REST (31) PER MMR 03/22/14 - CIR. 03/30/14 [JEN]; 
13063,03/02/2010,Regular,Accepted,WM ELECT (31) 2009 PER UPDATED ER RCVD. 03/23/09 (ann03/02/10); 
13063,03/02/2010,Regular,Accepted,PM CERT (31) ISSUED PER OF # 90445 DTD 01/29/10 (ann03/02/10); 
13063,01/17/2023,Regular,Accepted,DECEASED [31] MMR 11/2022 CIR. 01/20/2023 [JOEL]
13064,08/10/2010,Regular,Accepted,REST (31) 12/31/09 PER MMR 07/24/10 - CIR. 08/10/10 (ann); 
13064,04/03/2012,Regular,Accepted,SNPD (31) PER 2011 AR [JEN];
13064,03/15/2014,Regular,Accepted,DECEASED (31) 08/30/13 PER 2013 AR [JEN]; 
13066,01/11/2018,Regular,Accepted,REST(31) MMR 02/25/17-CIR. 12/30/17(FOX)
13084,\N,Regular,Accepted,DECEASED RECD. NULL AND VOID PER LTR DTD 09/27/10 BY WB NESTOR PASTORAL (ann); 
13177,10/18/2013,Regular,Accepted,REST (31) PER MMR 09/28/13 - CIR. 10/10/13 [EN];
13177,01/05/2017,Regular,Accepted,SNPD (31) PER MMR 12/17/16 - CIR. 12/30/16 [JEN];
13227,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
13263,05/17/2012,Regular,Accepted,DECEASED (31) PER MMR 03/24/12 - CIR. 05/10/12 [JEN];
13285,09/11/2010,Regular,Accepted,REST (31) 08/28/10 PER MMR 08/28/10 - CIR. 09/10/10 (ann); 
13285,03/06/2014,Regular,Accepted,SNPD (31) PER MMR 02/22/14 - CIR. 02/28/14 [JEN]; 
13343,07/02/2010,Regular,Accepted,REST (31) 04/10/10 PER MMR 04/10/10 - CIR. 05/20/10 (ann); 
13344,02/04/2013,Regular,Accepted,REST (31) PER MMR 11/24/12 - CIR. 01/30/13 [JEN];
13437,05/22/2017,Regular,Accepted,REST (31) PER MMR 04/22/17 - CIR. 04/30/17 [JEN];
13437,08/04/2017,Regular,Accepted,"MM CERT (31) ISSUED PER SI# 193225 DTD 06/09/17, PROF. EXM DTD 05/27/17 [JEN];"
13437,06/18/2018,Petitioner,No Action,RESTORED (31) PER A/R 2018
13503,08/04/2025,Regular,Accepted,RESTORED [ 31 ] MMR 06/2025 CIR 08/10/2025 [JOEL]
13526,07/14/2010,Regular,Accepted,REST (31) 05/08/10 PER MMR 05/08/10 - CIR. 05/30/10 (ann); 
13526,07/19/2013,Regular,Accepted,GLI (15) 2013 [hazel].;
13526,12/03/2013,Regular,Accepted,MEMBER (MASONIC COORDINATING COUNCIL) 2013 [JEN];
13526,\N,Regular,Accepted,PM Cert (31) Issued per SI#185953 dtd 05/13/16 [ann];
13526,05/31/2017,Regular,Accepted,DGL (MD RIV CAVITE-EAST) 2017 [JEN];
13530,\N,Regular,Accepted,SNPD (31) 12/16/10 PER MMR 12/16/10 - CIR. 03/20/11 (ann); 
13530,09/20/2011,Regular,Accepted,REST (31) 09/10/11 PER MMR 09/10/11 - CIR. 10/20/11 [ann]; 
13530,06/14/2012,Regular,Accepted,DEMITTED (31) PER MMR 05/26/12 - CIR. 06/10/12 [JEN];
13541,01/05/2017,Regular,Accepted,DECEASED (31) MAR 2015 PER MMR 12/17/16 - CIR. 12/30/16 [JEN];
13549,04/03/2012,Regular,Accepted,SNPD (31) PER 2011 AR [JEN];
13592,07/25/2024,Regular,Accepted,RESTORED [ 31 ] MMR 06/2024 CIR 07/30/2024 [JOEL]
13640,08/11/2010,Regular,Accepted,DECEASED 08/12/1963 PER UPDATE OF AAGM DIESTA (ann); 
13684,02/27/2015,Regular,Accepted,REST (31) PER MMR 01/24/15 - CIR. 02/20/15 [JEN];
