ID,Date (Activities),Type (Activities),Action (Activities),Notes (Activities)
67960,06/13/2023,Regular,Accepted,MEMBERS COMMITTEE ON PRELIMINARY INVESTIGATION MY 2023-2024 (SALVADOR)
67960,06/13/2023,Regular,Accepted,MEMBERS COMMITTEE ON RESOLUTIONS MY 2023-2024 (SALVADOR)
67982,01/14/2016,Regular,Accepted,SNPD (352) PER MMR 01/02/16 - CIR. 01/10/16 [JEN]; 
67983,01/14/2016,Regular,Accepted,SNPD (352) PER MMR 01/02/16 - CIR. 01/10/16 [JEN]; 
68030,08/19/2010,Regular,Accepted,DGL (RIVA-1) 2010 [ann];
68202,09/20/2011,Regular,Accepted,dgl (riv-a1) 2011 [jen];
68202,06/04/2016,Regular,Accepted,DDGM (RIV-A1) 2015 [JEN];
68202,11/15/2018,Regular,Accepted,PM CERT (15) ISSUED PER SI# 199861 DTD 08/23/18  [nes];
68202,12/01/2021,Regular,Accepted,HIRAM MEDAL ISSUED 12/01/2021 S.I NO. 214173 [JOEL]
68202,02/02/2022,Regular,Accepted,"HIRAM MEDAL AWARD APPROVED BY MW DANILO D. ANGELES, PGM, GRAND SECRETARY ISSUED 01/27/2022 [JOEL]"
68203,\N,Regular,Accepted,MM CERT (15) ISSUED PER SI # 140918 DTD 03/03/11 [JEN];
68206,03/09/2022,Regular,Accepted,WM [15] 2021 A/R [JOEL]
68206,04/01/2022,Regular,Accepted,PM CRT APRON AND JEWEL ISSUED 03/24/2022 S.I NO. 216439 [JOEL]
68206,06/07/2023,Regular,Accepted,GLI (15) MY 2022-2023 (SALVADOR)
68206,09/18/2024,Regular,Accepted,DGL [ MD R IV CAVITE EAST ] MY 2024-2025 [JOEL]
68207,07/04/2013,Regular,Accepted,DDGM (NCR-D) 2013 [JEN]; MOST OUTSTANDING DDGM 2013 [MEL];
68207,12/03/2013,Regular,Accepted,MEMBER (COMMITTEE ON WAYS AND MEANS) 2013 [JEN];
68207,12/03/2013,Regular,Accepted,MEMBER (COMMITTEE ON GRAND LODGE SCHOLARSHIP) 2013 [JEN];
68207,12/03/2013,Regular,Accepted,MEMBER (COMMITTEE ON YOUTH) 2013 [JEN];
68207,12/04/2013,Regular,Accepted,MEMBER (COMMITTEE ON ENVIRONMENT AND DISASTER PREPAREDNESS) 2013 [JEN];
68207,05/06/2014,Regular,Accepted,JUNIOR GRAND LECTURER (NCR) 2014 [JEN];  CHAIRMAN (COMM. ON YOUTH) 2014 [ROSE];
68207,06/11/2018,Regular,Accepted,MEMBER-COM. ON YOUTH 2018
68207,06/11/2018,Regular,Accepted,CHAIRMAN-COM. ON SPORTS DEVELOPMENT 2018
68207,11/15/2018,Regular,Accepted,PM CERT (15) ISSUED PER SI# 199861 DTD 08/23/18  [nes];
68207,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
68207,06/07/2023,Regular,Accepted,TECHNICAL WORKING GROUP COMMITTEE ON FINANCE MY 2022-2023 (SALVADOR)
68207,06/07/2023,Regular,Accepted,VICE CHAIRMAN COMMITTEE ON ACCOUNTS (SALVADOR)
68207,06/07/2023,Regular,Accepted,CHAIRMAN COMMITTEE ON WAYS AND MEANS MY 2022-2023 (SALVADOR) 
68208,05/22/2014,Regular,Accepted,DGL (RIV-A1) 2014 [JEN];
68208,11/15/2018,Regular,Accepted,PM CERT (15) ISSUED PER SI# 199861 DTD 08/23/18  [nes];
68318,01/14/2016,Regular,Accepted,SNPD (352) PER MMR 01/02/16 - CIR. 01/10/16 [JEN]; 
68363,01/18/2012,Regular,Accepted,MM CERT (15) ISSUED PER SI # 140918 DTD 03/03/11 [JEN];
68363,11/15/2018,Regular,Accepted,PM CERT (15) ISSUED PER SI# 199861 DTD 08/23/18  [nes];
68363,12/18/2023,Regular,Accepted,DECEASED [15] MMR 09/2023 CIR 12/20/2023 [JOEL]
68423,03/09/2012,Regular,Accepted,NEW ADDRESS (346) PER 2011 AR (fav 03/09/12);
68530,08/14/2010,Regular,Accepted,REST (31) 06/21/10 PER MMR 06/12/10 - CIR. 06/30/10 (ann); 
68537,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
68545,01/19/2021,Regular,Accepted,DECEASED [346] MMR 10/24/2020- CIR. 01/20/2021 [JOEL]
68631,06/07/2010,Regular,Accepted,SNPD (69) 12/31/09 PER MMR 03/06/10 - CIR. 05/10/10 (ann); 
68631,\N,Regular,Accepted,REST (69) 12/04/10 PER 2010 AR [ann]; 
68631,03/14/2017,Regular,Accepted,SNPD (69) PER LODGE RES. NO. 01-03-2017 DTD 03/04/17 - CIR. 03/20/17 [JEN]; SNPD (69) PER 2016 AR [JEN];
68631,03/03/2018,Regular,Accepted,SNPD MMR 03/17(JOEL)
68631,03/03/2018,Regular,Accepted,REST(69) MMR 05/17-CIR. 02/28/18(JOEL)
68631,02/09/2023,Regular,Accepted,DECEASED [69] MMR 12/2022 CIR. 02/10/2023 [JOEL]
68632,07/19/2013,Regular,Accepted,GLI (97) 2013 [hazel].;
68632,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
68688,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
68831,07/19/2018,Regular,Accepted,"IPM ISSUED JULY 13, 2018 [NES]"
68831,05/19/2025,Regular,Accepted,Gli [410] MY 2025-2026 [April]
68834,12/05/2024,Regular,Accepted,SNPD [ 346 ] MMR 10/2024 CIR 12/10/2024 [JOEL]
68834,06/25/2025,Regular,Accepted,RESTORED [346 ] PER MMR 03/2025 CIR 06/30/2025 [JOEL]
68850,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
68875,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 07/02/11 [JEN];"
68924,04/12/2016,Regular,Accepted,REST (31) PER MMR 02/27/16 - CIR. 03/20/16 [JEN];
68946,06/07/2010,Regular,Accepted,SNPD (69) 12/31/09 PER MMR 03/06/10 - CIR. 05/10/10 (ann); 
69040,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
69040,06/09/2023,Regular,Accepted,DGL (MD RIV - CAVITE  (EAST) MY 2023-2024 (SALVADOR)
69040,06/13/2023,Regular,Accepted,"MEMBER COMMITTEE ON ENVIRONMENT & DISASTER PREPAREDNESS\
MY 2023-2024 (SALVADOR)"
69040,05/17/2025,Regular,No Action,"DDGM, CAMP ZAMA, JAPAN, MY 2025 - 2026"
69086,03/13/2017,Regular,Accepted,SNPD (51) PER MMR 12/10/16 - CIR. 03/20/17 [JEN];
69086,03/13/2017,Regular,Accepted,SNA (51) PER MMR 12/10/16 - CIR. 03/20/17 [JEN];
69086,02/22/2020,Regular,Accepted,RESTORED [51] MMR 02/08/2020- CIR. 02/29/2020 [JOEL]
69086,02/27/2020,Regular,Accepted,SNPD [51] A/R 2019 [MON]
69086,06/17/2020,Regular,Accepted,RESTORED [51] MMR 02/08/2020- CIR. 06/20/2020 [JOEL]
69119,08/28/2019,Regular,Accepted,PM CERT (416) ISSUED PER SI NO. 201993 DTD (02/04/19) (ANN)
69119,05/21/2021,Regular,Accepted,GLI [238] MY 2019-2021 ALEX
69119,06/11/2021,Dual,Accepted,DUAL FROM CHARTER [ALEX]
69119,11/29/2021,Dual,Accepted,DEMITTED [451] MMR 07/23/2021- CIR. 11/30/2021 [JOEL]
69119,03/24/2023,Honorary,Accepted,HONORARY CERT ISSUED 03/21/2023 [JOEL]
69121,12/05/2024,Regular,Accepted,MM CERT ISSUED 11/30/2024; PROF EXAM 04/20/2024 [JOEL]
69172,08/14/2010,Regular,Accepted,REST (31) 06/21/10 PER MMR 06/12/10 - CIR. 06/30/10 (ann); 
69172,02/05/2013,Regular,Accepted,DECEASED (31) PER MMR 12/22/12 - CIR. 01/30/13 [JEN];
69173,08/14/2010,Regular,Accepted,REST (31) 06/21/10 PER MMR 06/12/10 - CIR. 06/30/10 (ann); 
69173,01/05/2017,Regular,Accepted,SNPD (31) PER MMR 12/17/16 - CIR. 12/30/16 [JEN];
69173,07/25/2024,Regular,Accepted,RESTORED [ 31 ] MMR 06/2024 CIR 07/30/2024 [JOEL]
69174,08/14/2010,Regular,Accepted,REST (31) 06/21/10 PER MMR 06/12/10 - CIR. 06/30/10 (ann); 
69174,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
69174,02/19/2014,Regular,Accepted,REST (31) PER MMR 01/25/14 - CIR. 02/20/14 [JEN]; 
69174,01/05/2017,Regular,Accepted,SNPD (31) PER MMR 12/17/16 - CIR. 12/30/16 [JEN];
69174,05/12/2022,Regular,Accepted,RESTORED [31] PER 2021 A/R [JOEL]
69174,05/03/2024,Regular,Accepted,MM CERT ISSUED 05/31/2024; PROF EXAM 03/09/2024 [JOEL]
69178,09/20/2011,Regular,Accepted,dgl (riv-a2) 2011 [jen];
69178,01/12/2012,Regular,Accepted,"MM CERT (51) ISSUED PER SI # 145771 DTD 11/04/11, PROF EXAM 2009 [ann]; "
69178,06/04/2016,Regular,Accepted,DDGM (RIV-A2) 2015 [JEN];
69178,05/12/2021,Regular,Accepted,JGL SOUTH  LUZON A MY 2021- 2022 [JOEL]
69179,02/10/2017,Regular,Accepted,PM CERT (69) ISSUED PER SI# 190502 DTD 01/26/17 [JEN];
69179,06/09/2018,Regular,Accepted,DGL 2018 ( MD R IV) [NES]
69179,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
69179,07/28/2020,Charter,Accepted,CHARTER SW [448] PER DISPENSATION TO FORM A NEW LODGE [JOEL]
69179,03/01/2022,Dual,Accepted,PM CERT APRON AND JEWEL ISSUED 03/01/2022 S.I NO. 215789 [JOEL]
69179,06/08/2023,Regular,Accepted,DDGM (MD RIV - CAVITE (EAST) MY 2023-2024 (SALVADOR)
69179,06/13/2023,Regular,Accepted,MEMBERS COMMITTEE ON PRELIMINARY INVESTIGATION MY 2023-2024 (SALVADOR)
69179,06/13/2023,Regular,Accepted,MEMBERS COMMITTEE ON RESOLUTIONS MY 2023-2024 (SALVADOR)
69179,06/13/2023,Regular,Accepted,MEMBERS COMMITTEE ON CAVITE AFFAIRS MY 2023-2024 (SALVADOR)
69179,07/17/2023,Honorary,Accepted,HONORARY CERT ISSUED 06/14/2023 [JOEL]
69179,11/09/2023,Honorary,Accepted,HONORARY CERT ISSUED 05/25/2023 [JOEL]
69179,10/09/2024,Honorary,Accepted,HONORARY CERT ISSUED 09/26/2024 [JOEL]
69179,05/16/2025,Regular,No Action,"GRAND AUDITOR, MY - 2024 - 2025"
69179,05/21/2025,Regular,No Action,"GRAND AUDITOR, MY 2025 - 2026"
69247,12/21/2016,Regular,Accepted,"MM CERT (15) ISSUED PER SI# 189511 DTD 12/02/16, PROF. EXM DTD 06/03/06 [NAZ];"
69248,11/05/2024,Regular,Accepted,MM CERT ISSUED 10/28/2024; PROF EXAM 05/02/2009 [JOEL]
69249,12/21/2016,Regular,Accepted,"MM CERT (15) ISSUED PER SI# 189511 DTD 12/02/16, PROF. EXM DTD 06/03/06 [NAZ];"
69249,06/14/2024,Regular,Accepted,GLI [ 31 ] MY 2023-2024 [JOEL]
69249,05/16/2025,Regular,Accepted,Gli [31 ] My 2023-2024 [April]
69250,11/08/2016,Regular,Accepted,"UPDATE RECORD (CHANGE OCCUPATION & EMPLOYMENT ADDRESS., AND ADD CONTACT #, EMAIL ADD.) PER REQUEST OF MR.QUINTANA [ROSE];"
69250,11/26/2016,Regular,Accepted,"MM CERT (15) RE-ISSUED PER SI# 189308 DTD 11/21/16, PROF. EXM DTD 06/03/06 [ROSE[;"
69250,12/21/2016,Regular,Accepted,"MM CERT (15) RE-ISSUED PER SI# 189511 DTD 12/02/16, PROF. EXM DTD 06/03/06 [NAZ];"
69257,11/05/2024,Regular,Accepted,MM CERT ISSUED 10/28/2024; PROF EXAM 12/02/2006 [JOEL]
69366,03/09/2012,Regular,Accepted,NEW ADDRESS (346) PER 2011 AR (fav 03/09/12);
69366,01/04/2020,Regular,Accepted,SNPD [346] MMR 12/20/19- CIR. 01/10/20 [JOEL]
69415,12/21/2016,Regular,Accepted,"MM CERT (15) ISSUED PER SI# 189511 DTD 12/02/16, PROF. EXM DTD 11/05/16 [NAZ];"
69415,05/21/2025,Regular,Accepted,SNPD [ 15 ] MMR  03/2025 CIR 05/30/2025 [JOEL]
69471,01/12/2012,Regular,Accepted,PM CERT (352) 2011 ISSUED PER SI# 146898 DTD 01/03/12 [ann]; 
69471,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 01/06/07 [JEN];"
69471,06/21/2019,Regular,Accepted,DGL (MD RIV CAVITE (EAST) (2019) ANN
69471,08/28/2019,Regular,Accepted,PM CERT (352) ISSUED PER SI NO. 201639 DTD (01/22/19) (ANN)
69471,06/01/2023,Regular,Accepted,GLI [ 352 ] MY 2022-2023 [JOEL]
69471,07/18/2023,Regular,Accepted,UPDATED ADDRESS PER RECEIVED GLP UPDATE FORM 07/18/2023 [JOEL]
69471,08/09/2024,Regular,Accepted,JGL  [ SOUTHERN LUZON - MINDORO ] MY 2024-2025 [JOEL]
69472,02/19/2013,Regular,Accepted,PM Cert (352) per SI# 155405 dtd 1/10/13_ [jho];
69472,07/19/2013,Regular,Accepted,GLI (31) 2013 [hazel].;
69472,05/22/2014,Regular,Accepted,DGL (RIV-A1) 2014 [JEN];
69472,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 01/06/07 [JEN];"
69487,05/27/2010,Regular,Accepted,REST (31) 02/13/10 PER MMR 02/13/10 - CIR. 04/10/10 (ann); 
69487,\N,Regular,Accepted,PM Cert (31) 2015 Issued per SI#185953 dtd 05/13/16 [ann];
69487,06/09/2018,Regular,Accepted,DGL 2018 ( MD R IV) [NES]
69488,03/06/2014,Regular,Accepted,SNPD (31) PER MMR 02/22/14 - CIR. 02/28/14 [JEN]; 
69490,06/19/2024,Regular,Accepted,MM CERT ISSUED 06/05/2024; PROF EXAM 02/17/2024 [JOEL]
69491,02/01/2014,Regular,Accepted,SNPD (51) PER MMR 01/11/14 - CIR. 01/30/14 [JEN]; 
69491,12/20/2022,Regular,Accepted,RESORED [51] MMR 07/20222 CIR. 12/20/2022 [JOEL]
69491,06/10/2024,Regular,Accepted,DECEASED [51] MMR 02/2024 CIR 06/10/2024 [JOEL]
69588,11/30/2024,Regular,Accepted,MM CERT ISSUED 01/10/2025; PROF EXAM 09/07/2024 [JOEL]
69589,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
69589,08/14/2019,Regular,Accepted,MM CERT (69) ISSUED PER SI NO. 201817 DTD 01/29/19 PROF EXAM (06/02/18) (ANN)
69589,04/19/2024,Dual,Accepted,SNPD [448] MMR 03/2023 CIR 04/20/2024 [JOEL]
69656,11/05/2024,Regular,Accepted,MM CERT ISSUED 10/28/2024; PROF EXAM 11/04/2006 [JOEL]
69663,03/16/2010,Regular,Accepted,CORR. OF NAME FRM ROLESTON F. FAPEUTILA- RALESTON F. FALCUTILA PER PERSONAL REQ. (ann03/16/10); 
69663,01/21/2016,Regular,Accepted,SNPD (51) PER MMR 11/14/15 - CIR. 12/10/15 [JEN];
69664,01/21/2016,Regular,Accepted,SNPD (51) PER MMR 11/14/15 - CIR. 12/10/15 [JEN];
69664,06/27/2019,Regular,Accepted,RESTORED [51] MMR 04/13/19 - CIR. 06/30/19 [JOEL]
69690,09/06/2016,Regular,Accepted,SNPD (346) PER MMR 07/23/16 - CIR. 08/30/16 [MEL];
69692,05/19/2025,Regular,Accepted,Gli [238] MY 2025-2026 [April]
69700,05/15/2012,Regular,Accepted,District Grand Lecturer (RVI-A1) 2012 (jho);
69700,05/06/2014,Regular,Accepted,DDGM (RIV-A1) 2014 [JEN];  MEMBER (COMMITTEE ON CAVITE AFFAIRS) 2014 [ROSE];
69700,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 01/06/07 [JEN];"
69700,08/30/2016,Regular,Accepted,HIRAM AWARD (352) GIVEN PER LODGE RES. NO. 01-0205-2015 DTD 05/02/15 APPROVED BY GS 05/07/15 [MEL];
69700,09/03/2016,Regular,Accepted,"UPDATE RECORD (CHANGE ADD., ADD CHILDREN, CHANGE OCCUPATION, CHANGE EMPLOYMENT, CHANGE EMPLOYMENT ADD. CHANGE CONTACT#) PER GLP MEMBER UPDATE FORM [MEL];"
69768,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 07/02/11 [JEN];"
69773,07/30/2010,Regular,Accepted,MM CERT (15) ISSUED PER OF # 100230 DTD 07/30/10 (ann); 
69773,07/05/2013,Regular,Accepted,DGL (RIV-A1) 2013 [JEN];
69773,11/15/2018,Regular,Accepted,PM CERT (15) ISSUED PER SI# 199861 DTD 08/23/18  [nes];
69833,06/16/2015,Regular,Accepted,PM CERT (69) ISSUED PER SI# 177468 DTD 01/26/15 [JEN];
69833,10/03/2016,Regular,Accepted,DGL (R IV-A1) 2016 [ROSE];
69833,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
69833,07/28/2020,Charter,Accepted,CHARTER JW [448] PER DISPENSATION TO FORM A NEW LODGE [JOEL]
69833,06/13/2023,Regular,Accepted,MEMBERS COMMITTEE ON THE REVISION OF THE CONSTITUTION MY 2023-2024 (SALVADOR)
69833,05/16/2025,Regular,No Action,"ASSISTANT GRAND SECRETARY, MY - 2025 - 2026"
69948,01/19/2010,Regular,Accepted,UPDATED RECD. PER GLP UPDATE FORM (ann01/19/10); 
69948,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 08/05/06 [JEN];"
69948,01/14/2016,Regular,Accepted,SNPD (352) PER MMR 01/02/16 - CIR. 01/10/16 [JEN]; 
69949,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 05/07/11 [JEN];"
69949,01/14/2016,Regular,Accepted,SNPD (352) PER MMR 01/02/16 - CIR. 01/10/16 [JEN]; 
69949,07/22/2016,Regular,Accepted,Rest (352) per MMR 06/04/16 - Cir. 06/10/16 [ann];
70014,11/05/2024,Regular,Accepted,MM CERT ISSUED 10/28/2024; PROF EXAM 09/22/2007 [JOEL]
70233,01/12/2012,Regular,Accepted,"MM CERT (51) ISSUED PER SI # 145771 DTD 11/04/11, PROF EXAM 2009 [ann]; "
70233,07/04/2014,Regular,Accepted,MM CERT (51) ISSUED PER SI# 174092 DTD 06/05/14 [JEN];
70233,06/09/2018,Regular,Accepted,DGL 2018 ( MD R IV) [NES]
70233,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
70234,10/26/2016,Regular,Accepted,"MM CERT (69) ISSUED PER SI# 188577 DTD 10/10/16, PROF. EXM DTD 10/03/15 [ROSE];"
70234,05/19/2021,Regular,Accepted,GLI [31] MY 2021-2022 ALEX
70234,01/30/2023,Regular,Accepted,DGL [MD RIV- CAVITE-EAST] MY 2022-2023 [JOEL]
70234,05/19/2025,Regular,No Action,"PUBLIC RELATIONS & LIASON OFFICER, CORPORATE APPOINTMENTS, MY 2025 - 2026"
70235,05/30/2015,Regular,Accepted,SNPD (69) PER 2014 AR [JEN];
70236,03/14/2017,Regular,Accepted,SNPD (69) PER LODGE RES. NO. 01-03-2017 DTD 03/04/17 - CIR. 03/20/17 [JEN]; SNPD (69) PER 2016 AR [JEN];
70236,03/03/2018,Regular,Accepted,REST(69) MMR 05/17-CIR. 02/28/18(JOEL)
70237,\N,Regular,Accepted,SNPD (69) PER 2010 AR [ann]; 
70237,11/08/2021,Regular,Accepted,DECEASED [69] MMR 09/2021- CIR. 11/10/2021 [JOEL]
70302,03/23/2012,Regular,Accepted,SNPD (352) PER 2011 AR (fav 03/23/2012);
70302,07/04/2014,Regular,Accepted,SNPD (352) 11/09/13 PER AR 2013 [JEN]; 
70303,03/20/2014,Regular,Accepted,SNPD (352) 11/09/13 PER AR 2013 [JEN]; 
70314,07/19/2013,Regular,Accepted,GLI (346) 2013 [hazel].;
70314,04/22/2016,Regular,Accepted,"UPDATE RECORD (CHANGE OF ADD, TEL NO, ADD KIN) PER GLP MEMBER UPDATE FORM [JEN];"
70314,10/03/2016,Regular,Accepted,DGL (R IV-A1) 2016 [ROSE];
70314,11/15/2018,Regular,Accepted,PM CERT (15) ISSUED PER SI# 199861 DTD 08/23/18  [nes];
70385,07/04/2013,Regular,Accepted,DDGM (RIV-A1) 2013 [JEN];
70385,12/03/2013,Regular,Accepted,MEMBER (COMMITTEE ON CAVITE AFFAIRS) 2013 [JEN];
70385,05/05/2017,Regular,Accepted,HIRAM AWARD (346) WAS BESTOWED UPON DURING STD MEETING DTD 03/28/15 [JEN];
70385,05/15/2017,Regular,Accepted,ASSISTANT GRAND SECRETARY 2017 [JEN];
70385,09/13/2017,Regular,Accepted,UPDATE RECORD (ADD CHILD/ CEL NO.) PER GLP UPDATE FORM [JEN];
70385,05/17/2025,Regular,No Action,"JUNIOR GRAND LECTURER, SOUTHERN LUZON A (CAVITE) MY 2025- 2026"
70386,08/27/2016,Regular,Accepted,"UPDATE RECORD (CHANGE ADD., ADD CHILDREN, CHANGE CONTACT#) PER GLP MEMBER UPDATE FORM [MEL];"
70386,01/12/2017,Regular,Accepted,SNPD (346) PER MMR 12/10/16 - CIR. 01/20/17 [JEN];
70386,12/14/2017,Regular,Accepted,RESTORED(346) PER MMR 10/28/17- CIR. 12/10/17(FOX)
70386,08/05/2025,Regular,Accepted,UPDATED NAME OF CHILDREN PER RECEIVED GLP UPDATE FORM 08/05/2025 [JOEL]
70388,03/09/2012,Regular,Accepted,NEW ADDRESS (346) PER 2011 AR (fav 03/09/12);
70388,08/27/2016,Regular,Accepted,PM CERT (346) ISSUED PER SI# 186016 DTD 05/16/16 [MEL];
70389,03/09/2012,Regular,Accepted,NEW ADDRESS (346) PER 2011 AR (fav 03/09/12);
70389,08/27/2016,Regular,Accepted,PM CERT. (346) ISSUED PER SI#186016 DTD 05/16/16 [MEL];
70389,05/31/2021,Regular,Accepted,DGL [ MD-RIV ] MY 2021-2022 [JOEL]
70545,01/13/2017,Regular,Accepted,SNPD (15) PER MMR 06/04/16 - CIR. 12/30/16 [JEN];
70545,04/10/2018,Regular,Accepted,REST(15) MMR 11/04/17- CIR. 03/30/18(JOEL)
70545,02/27/2019,Regular,Accepted,DECEASED(15) MMR 01/05/19- CIR. 02/28/19 [JOEL]
70548,\N,Regular,Accepted,PM Cert (31) 2013 Issued per SI#185953 dtd 05/13/16 [ann];
70558,09/15/2011,Regular,Accepted,Grand Historian 2011 [jen];
70558,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
70558,01/20/2017,Regular,Accepted,"REST (69) PER LODGE LTR DTD 12/22/16 ""RESTORED PER THEIR PAYMENTS"" APPRVD BY AGS YABUT 01/19/17 - CIR. 01/10/17 [JEN];"
70558,02/24/2025,Regular,Accepted,DECEASED PER 2024 A/R [JOEL]
70560,10/19/2020,Regular,Accepted,DECEASED [69] MMR 02/2020 CIR. 10/20/2020 [JOEL]
70561,06/28/2018,Regular,Accepted,PM CERT(69) ISSUED# 196286DTD 01/19/18(MENG)
70561,06/21/2019,Regular,Accepted,"DGL (MD RIV CAVITE (EAST) (2019) ANN\
"
70561,06/27/2019,Charter,Accepted,CM (448) 09/03/2018 (ANN)
70561,08/15/2019,Regular,Accepted,PM CERT (69) ISSUED PER SI NO.202603 DTD (03/12/19) (ANN)
70561,08/19/2019,Regular,Accepted,VICE CHAIRMAN- COMMITTEE ON PRELIMINARY INVESTIGATION 2019 (ANN)
70561,06/13/2023,Regular,Accepted,MEMBERS COMMITTEE ON PRELIMINARY INVESTIGATION MY 2023-2024 (SALVADOR)
70561,05/17/2025,Regular,No Action,"DDGM, SOUTH KOREA, MY 2025 - 2026"
70562,07/03/2024,Regular,Accepted,MM CERT ISSUED 06/13/2024; PROF EXAM 03/02/2024 [JOEL]
70564,03/14/2017,Regular,Accepted,SNPD (69) PER LODGE RES. NO. 01-03-2017 DTD 03/04/17 - CIR. 03/20/17 [JEN]; SNPD (69) PER 2016 AR [JEN];
70564,07/16/2021,Regular,Accepted,RESTORED [69] MMR 04/2017- CIR. 07/20/2021 [JOEL]
70626,12/04/2019,Regular,Accepted,DECEASED [15] MMR 09/07/19- CIR. 12/10/19 [JOEL]
70751,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
70764,08/21/2024,Regular,Accepted,MM CERT ISSUED 06/06/2024; PROF EXAM 02/03/2024 [JOEL]
70766,06/20/2017,Regular,Accepted,MM CERT (69) REISSUED PER SI# 192987 DTD 05/23/17 [JEN];
70832,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 05/07/11 [JEN];"
70832,02/20/2024,Regular,Accepted,"EXPELLED [ 352 ] PER GRAND MASTER'S DECISION NO. 12 ORDERED FEBRUARY 16, 2024, MW MDON T. RAMAS-UYPITCHING, GRAND MASTER, MW DANILO D. ANGELES, PGM, GRAND SECREYTARY [JOEL]"
70838,03/20/2014,Regular,Accepted,SNPD (352) 11/09/13 PER AR 2013 [JEN]; 
70847,03/17/2022,Regular,Accepted,MM CERT ISSUED 03/09/2022 S.I NO. 216016; PROF EXAM 10/05/2019 [JOEL]
70848,02/12/2014,Regular,Accepted,SNPD (69) PER 2013 AR [JEN]; 
70848,11/18/2022,Regular,Accepted,RESTORED [69] MMR 07/2022 CIR. 11/20/2022 [JOEL]
70848,08/03/2023,Regular,Accepted,MM CERT ISSUED 03/24/2023; PROF EXAM 07/07/2007 [JOEL\\]
70883,03/09/2012,Regular,Accepted,NEW ADDRESS (346) PER 2011 AR (fav 03/09/12);
70884,07/05/2013,Regular,Accepted,DGL (RIV-A1) 2013 [JEN];
70884,08/27/2016,Regular,Accepted,PM CERT (346) ISSUED PER SI# 186016 DTD 05/16/16 [MEL];
70884,11/13/2019,Regular,Accepted,GLI- CARMONA UD 2019 [JOEL]
70884,05/19/2021,Regular,Accepted,GLI [69] MY 2021-2022 ALEX
70884,09/25/2023,Honorary,Accepted,HONORARY CERT ISSUED 08/18/2023 [JOEL]
70890,03/26/2013,Regular,Accepted,SNPD (31) 12/31/12 PER 2012 AR; PER MMR 02/23/13 [JEN];
70890,07/17/2013,Regular,Accepted,REST (31) PER MMR 05/25/13 - CIR. 07/10/13 [JEN];
70890,04/16/2024,Regular,Accepted,PROF EXAM 07/12/2008 PER WHITE CARD [JOEL]
71022,11/15/2014,Petitioner,No Action,INITIATED (51) PER MMR 08/09/14 [JEN];
71022,11/26/2014,Petitioner,No Action,PASSED (51) PER MMR 10/18/14 [JEN];
71022,08/06/2015,Regular,Accepted,RAISED (51) PER MMR 07/11/15 - CIR. 07/30/15 [JEN];
71022,11/05/2015,Regular,Accepted,DECEASED (51) PER MMR 08/08/15 - CIR. 09/30/15 [JEN];
71058,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 05/07/11 [JEN];"
71058,09/27/2021,Regular,Accepted,EXEMPTION PER EDICT NO. 325 [JOEL]
71059,07/04/2014,Regular,Accepted,"MM CERT (352) ISSUED PER SI# 174093 DTD 06/05/14, PROF. EXM DTD 06/04/11 [JEN];"
71059,01/14/2016,Regular,Accepted,SNPD (352) PER MMR 01/02/16 - CIR. 01/10/16 [JEN]; 
