ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
3721,,,CHARTER LODGE,346,,,,
3918,,,DUAL LODGE,129,09/24/2016,,,
4353,,,DUAL LODGE,323,,,,
4714,,,DUAL LODGE 2,398,,,,
4885,,,HONORARY LODGE 2,355,,,,
6588,,,CHARTER LODGE,346,,,,
7736,,,CHARTER LODGE,300,,,,
7760,,,DUAL LODGE,17,04/11/1975,,,
7771,,,CHARTER LODGE,346,,,,
8113,EXPELLED,09/07/2006,,,,,,
8140,,,CHARTER LODGE,300,,,,
8169,,,DUAL LODGE,147,12/20/1997,,,
8312,,,DUAL LODGE,333,02/03/2001,,,
8504,,,CHARTER LODGE,269,,,,
12431,EXPELLED,09/01/2012,,,,,,
12503,,,HONORARY LODGE,269,,,,
12512,,,DUAL LODGE,285,09/24/2008,,,
13010,,,DUAL LODGE,345,,,,
13164,,,CHARTER LODGE,300,,,,
13382,,,CHARTER LODGE,300,,,,
13437,,,DUAL LODGE,441,,,,
13526,RESTORED,05/08/2010,,,,,,
13631,,,CHARTER LODGE,300,,,,
14490,,,DUAL LODGE,43,,,,
21420,RESTORED,03/07/2020,,,,,,
21737,,,DUAL LODGE,282,,,,
21753,,,HONORARY LODGE,97,,,,
23127,,,DUAL LODGE 2,441,,,,
23559,,,DUAL LODGE,173,04/20/1984,,,
24501,,,CHARTER LODGE,346,,,,
24563,,,CHARTER LODGE,269,,,,
24657,EXPELLED,11/09/2019,,,,,,
25033,,,DUAL LODGE,292,12/31/1993,,,
58985,,,DUAL LODGE,332,,,,
61453,EXPELLED,09/18/2006,,,,,,
62610,,,DUAL LODGE,346,11/03/2001,,,
63550,,,CHARTER LODGE,346,,,,
64616,,,CHARTER LODGE,346,,,,
65394,,,CHARTER LODGE,346,,,,
67320,,,DUAL LODGE 2,401,,,,
67424,RESTORED,06/01/2019,,,,,,
67959,,,DUAL LODGE,84,02/09/2008,,,
68207,,,DUAL LODGE 2,414,,,,
68834,,,DUAL LODGE,17,,,,
69178,,,DUAL LODGE 3,500,,,,
70314,,,DUAL LODGE 2,503,,,,
70385,,,DUAL LODGE,17,,,,
70386,RESTORED,11/08/2017,,,,,,
70884,,,DUAL LODGE,17,10/20/2008,,,
73048,,,DUAL LODGE,416,06/13/2015,,,
77100,,,DUAL LODGE 2,447,,,,
76123,,,CHARTER LODGE,416,,,,
76259,,,DUAL LODGE,467,,,,
76432,,,DUAL LODGE,435,,,,
76560,RESTORED,12/03/2016,,,,,,
77099,RESTORED,06/23/2018,,,,,,
77371,RESTORED,02/28/2015,,,,,,
77991,,,DUAL LODGE,170,,,,
78392,PETITIONED,02/28/2012,,,,,,
78575,OTHER SNPD,08/06/2015,,,,,,
81621,,,DUAL LODGE 3,499,,,,
