ID,Date (Masonic Timeline),Type (Masonic Timeline),Details (Masonic Timeline),Additional Information (Masonic Timeline)
73048,2014,LO,JW,JW (346) 2014 ER [JEN]; 
73048,2015,LO,SW,SW (346) 2015 ER [JEN];
73048,2016,LO,WM,WM (346) 2016 ER [JEN];
73049,2010,LO,JW,JW (346) 2010 ER (ann04/14/10); 
73347,2014,LO,JW,JW (352) ER 2014 [JEN]; 
73347,2022,LO,SW,SW [352] Er 2022  [lara]
73347,2023,LO,WM,WM [352] E/R 2023 [lara] 
73347,2024,LO,SECRETARY,Sec [352] ER 2024 [Lara]
73458,2015,LO,JW,JW (15) 2015 ER [JEN];
73458,2016,LO,SW,SW (15) 2016 ER [JEN];
73458,2017,LO,WM,WM (15) 2017 ER [JEN];
74046,2011,LO,SECRETARY,SEC (352) 2011 ER [ann]; 
74046,2012,LO,SW,SW (352) 2012 ER (fav 03/14/2012);
74046,2013,LO,WM,WM (352) 2013 ER [JEN];
74046,2014,LO,SECRETARY,SEC (352) ER 2014 [JEN]; 
74046,2015,LO,AUDITOR,AUD (352) 2015 ER [JEN];
74181,2018,LO,JW,JW(51) 2018ER (JOEL);
74349,2020,LO,TREASURER,TREASURER [51] E/R 2020 [MON]
74403,2012,LO,JW,JW (15) PER 2011 AR [JEN];
74403,2013,LO,SW,SW (15) 2013 ER [JEN];
74403,2014,LO,WM,WM (15) ER 2014 [JEN]; 
74403,2016,LO,SECRETARY,SEC (15) 2016 ER [JEN];
74403,2017,LO,SECRETARY,SEC (15) 2017 ER [JEN];
75683,2018,LO,JW,JW(346) 2018ER (JOEL);
75683,2019,LO,SW,SW(346) E/R 2019[JOAN]
75683,2020,LO,WM,WM [346] E/R 2020 [MON]
75684,2014,LO,SW,SW (346) 2014 ER [JEN]; 
75684,2015,LO,WM,WM (346) 2015 ER [JEN];
75684,2016,LO,SECRETARY,SEC (346) 2016 ER [JEN];
75684,2017,LO,SECRETARY,SEC (346) 2017 ER [JEN];
75684,2018,LO,SECRETARY,SEC(346) 2018ER (JOEL);
75684,2019,LO,SECRETARY,SEC(346) E/R 2019[JOAN]
75684,2020,LO,SECRETARY,SECRETARY [346] E/R 2020 [MON]
75684,2022,LO,SECRETARY,Sec [346] Er 2022 [lara]
75701,2012,LO,JW,JW (51) 2012 ER [JEN];
75701,2013,LO,SW,SW (51) 2013 ER [JEN];
75701,2014,LO,WM,WM (51) 2014 ER [JEN]; 
75874,2012,LO,JW,JW (31) 2012 ER [JEN];
75874,2013,LO,SW,SW (31) 2013 ER [JEN];
75874,2014,LO,WM,WM (31) 2014 ER [JEN];
75874,2015,LO,AUDITOR,AUD (31) 2015 ER [JEN];
75874,2016,LO,AUDITOR,AUD (31) 2016 ER [JEN];
75874,2017,LO,AUDITOR,AUD (31) 2017 ER [JEN];
75899,2014,LO,TREASURER,TREAS (346) 2014 ER [JEN]; 
75899,2015,LO,TREASURER,TREAS (346) 2015 ER [JEN];
75899,2016,LO,TREASURER,TREAS (346) 2016 ER [JEN];
75899,2017,LO,TREASURER,TREAS (346) 2017 ER [JEN];
75899,2024,LO,JW,JW [346] ER 2024 [Lara]
76123,2015,LO,JW,JW (346) 2015 ER [JEN];
76123,2016,LO,SW,SW (346) 2016 ER [JEN];
76123,2017,LO,WM,WM (346) 2017 ER [JEN];
76123,2020,LO,AUDITOR,AUDITOR [346] E/R 2020 [MON]
76123,2022,LO,AUDITOR,Auditor [346] Er 2022 [lara]
76123,2023,LO,AUDITOR,Auditor [346] E/R 2023 [lara]
76123,2025,LO,AUDITOR,Auditor [467] ER 2025 [Lara]
76124,2022,LO,SW,Sw [467] Er 2022  [lara]
76124,2023,LO,SW,SW [467] E/R 2023 [lara]
76124,2024,LO,WM,WM [467] ER 2024 [Lara]
76127,2018,LO,SW,SW(346) 2018ER (JOEL);
76127,2019,LO,WM,WM(346) E/R 2019[JOAN]
76127,2022,LO,AUDITOR,Auditor [467] Er 2022  [lara]
76127,2023,LO,SECRETARY,Sec [346] E/R 2023 [lara]
76127,2024,LO,SECRETARY,Sec [346] ER 2024 [Lara]
76222,2012,LO,TREASURER,TREAS (352) 2012 ER (fav 03/14/2012);
76223,2012,LO,SECRETARY,SEC (352) 2012 ER (fav 03/14/2012);
76256,2013,LO,AUDITOR,AUD (51) 2013 ER [JEN];
76256,2014,LO,TREASURER,TREAS (51) 2014 ER [JEN]; 
76256,2015,LO,TREASURER,TREAS (51) 2015 ER [JEN];
76256,2016,LO,TREASURER,TREAS (51) 2016 ER [JEN];
76257,2025,LO,JW,JW [51] ER 2025 [Lara]
76258,2023,LO,TREASURER,Treasurer [51] E/R 2023 [lara]
76259,2013,LO,JW,JW (51) 2013 ER [JEN];
76259,2014,LO,SW,SW (51) 2014 ER [JEN]; 
76259,2015,LO,WM,WM (51) 2015 ER [JEN];
76271,2024,LO,JW,JW [31] ER 2024 [Lara]
76271,2025,LO,SW,SW [31] E/R 2025 [Lara]
76273,2015,LO,JW,JW (31) 2015 ER [JEN];
76273,2016,LO,SW,SW (31) 2016 ER [JEN];
76273,2017,LO,WM,WM (31) 2017 ER [JEN];
76350,2018,LO,JW,JW(69) 2018ER (JOEL);
76431,2016,LO,JW,JW (31) 2016 ER [JEN];
76432,2012,LO,TREASURER,TREAS (31) 2012 ER [JEN];
76432,2014,LO,JW,JW (31) 2014 ER [JEN];
76432,2015,LO,SW,SW (31) 2015 ER [JEN];
76432,2016,LO,WM,WM (31) 2016 ER [JEN];
76432,2018,LO,AUDITOR,AUD(31) 2018ER (JOEL);
76558,2014,LO,SW,SW (352) ER 2014 [JEN]; 
76558,2015,LO,WM,WM (352) 2015 ER [JEN];
76558,2016,LO,AUDITOR,AUD (352) 2016 ER [JEN];
77012,2022,LO,SW,SW [15] Er 2022  [lara]
77012,2020,LO,JW,JW [15] E/R 2020 [MON]
77012,2021,LO,SW,SW [15] MY 2021 PER 2021 E/R [JOEL]
77012,2023,LO,WM,WM [15] E/R 2023 [lara]
77021,2020,LO,JW,JW [69] E/R 2020 [MON]
77100,2016,LO,JW,JW (346) 2016 ER [JEN];
77100,2017,LO,SW,SW (346) 2017 ER [JEN];
77100,2018,LO,WM,WM(346) 2018ER (JOEL);
77100,2020,LO,SECRETARY,SECRETARY [447] E/R 2020 [MON]
77138,2023,LO,JW,JW [15] E/R 2023 [lara]
77138,2024,LO,SW,SW [15] E/R 2024 [lara]
77138,2025,LO,WM,WM [15] E/R 2025 [Lara]
77436,2025,LO,JW,JW [15] E/R 2025 [Lara]
77890,2022,LO,JW,JW [69] Er 2022 - [lara]
77890,2023,LO,SW,SW [69] E/R 2023 [lara]
77890,2024,LO,JW,JW [69] ER 2024 [Lara]
77993,2013,LO,SECRETARY,SEC (352) 2013 ER [JEN];
78065,2022,LO,JW,JW [51] Er 2022  [lara]
78065,2023,LO,SW,SW [51] E/R 2023 [lara]
78065,2024,LO,WM,WM [51] E/R 2024 [Lara]
78234,2013,LO,TREASURER,TREAS (352) 2013 ER [JEN];
78234,2014,LO,TREASURER,TREAS (352) ER 2014 [JEN]; 
78234,2016,LO,JW,JW (352) 2016 ER [JEN];
78234,2017,LO,SW,SW (352) 2017 ER [JEN];
78234,2018,LO,WM,WM(352) 2018ER (JOEL);
78234,2019,LO,AUDITOR,AU(352) E/R 2019[JOAN]
78392,2014,LO,JW,JW (51) 2014 ER [JEN]; 
78392,2015,LO,SW,SW (51) 2015 ER [JEN];
78392,2016,LO,WM,WM (51) 2016 ER [JEN];
78392,2018,LO,AUDITOR,AUD(51) 2018ER (JOEL);
78392,2019,LO,AUDITOR,AUD(51)E/R 2019[CATH]
78392,2020,LO,AUDITOR,AUDITOR [51] E/R 2020 [MON]
78392,2022,LO,AUDITOR,Auditor [51] Er 2022  [lara]
78393,2018,LO,SW,SW(51) 2018ER (JOEL);
78393,2019,LO,WM,WM(51)E/R 2019[CATH]
78393,2022,LO,SECRETARY,Secretary [51] Er 2022  [lara]
78393,2023,LO,AUDITOR,Auditor [51] E/R 2023 [lara]
78460,2020,LO,WM,WM [69] E/R 2020 [MON]
78575,2015,LO,JW,JW (51) 2015 ER [JEN];
78575,2016,LO,SW,SW (51) 2016 ER [JEN];
78575,2023,LO,AUDITOR,Auditor [467] E/R 2023 [lara]
78575,2024,LO,SECRETARY,Sec [51] E/R 2024 [Lara]
78575,2025,LO,SECRETARY,Sec [51] ER 2025 [Lara]
78745,2012,LO,JW,JW (352) 2012 ER (fav 03/14/2012);
78745,2013,LO,SW,SW (352) 2013 ER [JEN];
78745,2014,LO,WM,WM (352) ER 2014 [JEN]; 
78745,2015,LO,SECRETARY,SEC (352) 2015 ER [JEN];
78745,2022,LO,AUDITOR,Auditor [352] Er 2022  [lara]
78847,2019,LO,JW,JW(31) E/R 2019 [CATH]
78847,2020,LO,SW,SW [31] E/R 2020 [MON]
78847,2022,LO,WM,WM [31] Er 2022  [lara]
78847,2023,LO,SECRETARY,Sec [31] E/R 2023 [lara]
78847,2024,LO,SECRETARY,Sec [31] ER 2024 [Lara]
78847,2025,LO,AUDITOR,Auditor [31] E/R 2025 [Lara]
78877,2016,LO,TREASURER,TREAS (352) 2016 ER [JEN];
78877,2017,LO,SECRETARY,SEC (352) 2017 ER [JEN];
78877,2018,LO,JW,JW(352) 2018ER (JOEL);
78877,2019,LO,SW,SW(352) E/R 2019[JOAN]
78877,2020,LO,WM,WM [352] E/R 2020 [MON]
78877,2022,LO,SECRETARY,Sec [352] Er 2022  [lara]
78878,2017,LO,TREASURER,TREAS (352) 2017 ER [JEN];
78878,2022,LO,TREASURER,Treasurer [352] Er 2022  [lara]
78880,2015,LO,JW,JW (352) 2015 ER [JEN];
78880,2016,LO,SW,SW (352) 2016 ER [JEN];
78880,2017,LO,WM,WM (352) 2017 ER [JEN];
78989,2018,LO,SECRETARY,SEC(51) 2018ER (JOEL);
78989,2019,LO,JW,JW(51)E/R 2019[CATH]
78989,2020,LO,SW,SW [51] E/R 2020 [MON]
78989,2022,LO,WM,WM [51] Er 2022  [lara]
78989,2023,LO,SECRETARY,Sec [51] E/R 2023 [lara]
78989,2024,LO,AUDITOR,Auditor [51] ER 2024 [Lara]
78989,2025,LO,AUDITOR,Auditor [51] ER 2025 [Lara]
78989,2025,LO,AUDITOR,Auditor [51] ER 2025 [Lara]
78989,2025,LO,AUDITOR,Auditor [51] ER 2025 [Lara]
79265,2025,LO,TREASURER,Treasurer[352] ER 2025 [Lara]
79393,2017,LO,JW,JW (15) 2017 ER [JEN];
79393,2018,LO,SW,SW(15) 2018ER (JOEL)
79393,2019,LO,WM,WM(15)E/R2019[JOAN]
79393,2024,LO,AUDITOR,Auditor [15] E/R 2024 [Lara]
79393,2025,LO,AUDITOR,Auditor [15] E/R 2025 [Lara]
79518,2019,LO,TREASURER,TREAS(51)E/R 2019[CATH]
79518,2020,LO,JW,JW [51] E/R 2020 [MON]
79518,2022,LO,SW,SW [51] Er 2022  [lara]
79518,2023,LO,WM,WM [51] E/R 2023 [lara]
79628,2015,LO,SW,SW (352) 2015 ER [JEN];
79628,2023,LO,SW,SW [352] E/R 2023 [lara] 
79645,2024,LO,SW,SW [43] E/R 2024 [Lara]
79645,2025,LO,WM,WM [43] ER 2025 [Lara]
80074,2024,LO,JW,JW [352] ER 2024 [Lara]
80661,2019,LO,SECRETARY,SEC(51)E/R 2019[CATH]
80661,2020,LO,SECRETARY,SECRETARY [51] E/R 2020 [MON]
80670,2016,LO,SECRETARY,SEC (51) 2016 ER [JEN];
81051,2022,LO,JW,JW [467] Er 2022  [lara]
81051,2023,LO,WM,WM [467] E/R 2023 [lara]
81620,2022,LO,TREASURER,Treasurer [51] Er 2022  [lara]
81620,2024,LO,JW,JW [51] E/R 2024 [Lara]
81620,2025,LO,SW,SW [51] ER 2025 [Lara]
81621,218,LO,TREASURER,TREAS(51) 2018ER (JOEL);
81621,2018,LO,TREASURER,TREAS(51) 2018ER (JOEL);
81621,2019,LO,SW,SW(51)E/R 2019[CATH]
81621,2020,LO,WM, WM [51] E/R 2020 [MON]
81622,2016,LO,JW,JW (51) 2016 ER [JEN];
81622,2018,LO,WM,WM(51) 2018ER (JOEL);
81907,2019,LO,SECRETARY,SEC(352) E/R 2019[JOAN]
81908,2016,LO,SECRETARY,SEC (352) 2016 ER [JEN];
81908,2018,LO,SW,SW(352) 2018ER (JOEL);
81908,2019,LO,WM,WM(352) E/R 2019[JOAN]
81908,2020,LO,AUDITOR,AUDITOR [352] E/R 2020 [MON]
82113,2023,LO,JW,JW [352] E/R 2023 [lara] 
82113,2024,LO,WM,WM [352] ER 2024 [Lara]
82113,2025,LO,SECRETARY,Sec [352] ER 2025 [Lara]
82116,2020,LO,SECRETARY,SECRETARY [352] E/R 2020 [MON]
82116,2022,LO,JW,JW [352] Er 2022  [lara]
82400,2018,LO,SECRETARY,SEC(31) 2018ER (JOEL);
82400,2019,LO,SW,SW(31) E/R 2019 [CATH]
82400,2020,LO,WM,WM [31] E/R 2020 [MON]
82400,2022,LO,SECRETARY,Sec [31] Er 2022  [lara]
82400,2023,LO,AUDITOR,Auditor [31] E/R 2023 [lara]
82400,2024,LO,AUDITOR,Auditor [467] ER 2024 [Lara]
82400,2025,LO,SECRETARY,Sec [467] ER 2025 [Lara]
82401,2016,LO,SECRETARY,SEC (31) 2016 ER [JEN];
82401,2017,LO,SECRETARY,SEC (31) 2017 ER [JEN];
82401,2018,LO,JW,JW(31) 2018ER (JOEL);
82401,2022,LO,JW,JW [31] Er 2022  [lara]
82401,2023,LO,SW,SW [31] E/R 2023 [lara]
82401,2024,LO,WM,WM [31] ER 2024 [Lara]
82401,2025,LO,SECRETARY,Sec [31] E/R 2025 [Lara]
82416,2024,LO,JW,JW [467] ER 2024 [Lara]
82416,2025,LO,SW,SW [467] ER 2025 [Lara]
82907,2018,LO,TREASURER,TREAS(325) 2018ER (JOEL);
82907,2019,LO,JW,JW(352) E/R 2019[JOAN]
82907,2020,LO,SW,SW [352] E/R 2020 [MON]
82907,2022,LO,WM,WM [352] Er 2022  [lara]
82907,2023,LO,SECRETARY,Sec [352] E/R 2023 [lara] 
82907,2024,LO,AUDITOR,Auditor [352] ER 2024 [Lara]
82908,2023,LO,TREASURER,Treasurer [352] E/R 2023 [lara] 
82908,2024,LO,SW,SW [352] ER 2024 [Lara]
82908,2025,LO,WM,WM [352] ER 2025 [Lara]
83034,2024,LO,TREASURER,Treasurer [352] ER 2024 [Lara]
83034,2025,LO,JW,JW [352] ER 2025 [Lara]
83063,2018,LO,TREASURER,TREAS(31) 2018ER (JOEL);
83163,2019,LO,JW,JW(346) E/R 2019[JOAN]
83163,2019,LO,JW,JW(346) E/R 2019[JOAN]
83163,2020,LO,SW,SW [346] E/R 2020 [MON]
83163,2022,LO,WM,WM [346] Er 2022 [lara]
83163,2024,LO,AUDITOR,Auditor [346] ER 2024 [Lara]
83164,2018,LO,TREASURER,TREAS(346) 2018ER (JOEL);
83164,2019,LO,TREASURER,TREASURER(346) E/R 2019[JOAN]
83164,2020,LO,TREASURER,TREASURER [346] E/R 2020 [MON]
83164,2022,LO,JW,JW [346] Er 2022 [lara]
83164,2023,LO,SW,SW [346] E/R 2023 [lara] 
83164,2024,LO,WM,WM [346] ER 2024 [Lara]
83792,2024,LO,JW,JW [15] E/R 2024 [lara]
83792,2025,LO,SW,SW [15] E/R 2025 [Lara]
83796,2022,LO,JW,JW [15] Er 2022  [lara]
83796,2021,LO,JW,JW [15] MY 2021 PER 2021 E/R [JOEL]
83796,2023,LO,SW,SW[15] E/R 2023 [lara]
83796,2024,LO,WM,WM [15] E/R 2024 [lara]
83922,2022,LO,SW,SW [69] Er 2022 - [lara]
83922,2023,LO,WM,WM [69] E/R 2023 [lara]
84079,2025,LO,SW,SW [352] ER 2025 [Lara]
84377,2020,LO,JW,JW [346] E/R 2020 [MON]
84377,2022,LO,SW,SW [346] Er 2022 [lara]
84377,2023,LO,WM,WM [346] E/R 2023 [lara] 
84621,2023,LO,JW,JW [346] E/R 2023 [lara]
84621,2024,LO,SW,SW [346] ER 2024 [Lara]
84995,2022,LO,TREASURER,Treasurer [346] Er 2022 [lara]
84995,2023,LO,TREASURER,Treasurer [346] E/R 2023 [lara]
84995,2024,LO,TREASURER,Treasurer [346] ER 2024 [Lara]
85658,2020,LO,SECRETARY,SECRETARY [31] E/R 2020 [MON]
85954,2024,LO,TREASURER,Treasurer [51] E/R 2024 [Lara]
85954,2025,LO,TREASURER,Treasurer [51] ER 2025 [Lara]
85994,2019,LO,SECRETARY,SEC(441)E/R2019[JOAN]
86873,2023,LO,JW,JW [69] E/R 2023 [lara]
86873,2024,LO,WM,WM [69] ER 2024 [Lara]
87103,2020,LO,SW,SW [448] 2020 E/R [JOEL]
87103,2022,LO,WM,WM [448] Er 2022  [lara]
87109,2022,LO,TREASURER,Treasurer [31] Er 2022  [lara]
87109,2023,LO,JW,JW [31] E/R 2023 [lara]
87109,2024,LO,SW,SW [31] ER 2024 [Lara]
87109,2025,LO,WM,WM [31] E/R 2025 [Lara]
87110,2023,LO,TREASURER,Treasurer [31] E/R 2023 [lara]
87110,2024,LO,TREASURER,Treasurer [31] ER 2024 [Lara]
87110,2025,LO,JW,JW [31] E/R 2025 [Lara]
87255,2025,LO,TREASURER,Treasurer [31] E/R 2025 [Lara]
87355,2022,LO,JW,JW [448] Er 2022  [lara]
87355,2023,LO,SW,SW [448] E/R 2023 [lara]
87355,2024,LO,WM,WM [448] ER 2024 [Lara]
87356,2023,LO,JW,JW [448] E/R 2023 [lara]
87356,2024,LO,SW,SW [448] ER 2024 [Lara]
87356,2025,LO,WM,WM [448] ER 2025 [Lara]
87440,2020,LO,JW,JW [448] 2020 E/R [JOEL]
87440,2022,LO,SW,Sw[448] Er 2022  [lara]
87440,2023,LO,WM,WM [448] E/R 2023 [lara]
87440,2024,LO,SECRETARY,Sec [448] ER 2024 [Lara]
87440,2025,LO,SECRETARY,Sec [448] ER 2025 [Lara]
87720,2024,LO,SW,SW [69] ER 2024 [Lara]
87720,2025,LO,WM,WM [69] E/R 2025 [Lara]
88405,2023,LO,JW,JW [51] E/R 2023 [lara]
88405,2024,LO,SW,SW [51] E/R 2024 [Lara]
88405,2025,LO,WM,WM [51] ER 2025 [Lara]
88555,2024,LO,JW,JW [448] ER 2024 [Lara]
88555,2025,LO,SW,SW [448] ER 2025 [Lara]
88556,2025,LO,JW,JW [448] ER 2025 [Lara]
93601,2025,LO,SW,SW [69] E/R 2025 [Lara]
94719,2025,LO,JW,JW [69] E/R 2025 [Lara]
