ID,Date (Masonic Timeline),Type (Masonic Timeline),Details (Masonic Timeline),Additional Information (Masonic Timeline)
60808,2019,LO,JW,JW (280)E/R 2019 (RONA)
60808,2020,LO,WM,WM [280] E/R 2020 [MON]
60808,2023,LO,AUDITOR,Auditor [280] E/R 2023 [lara]
60809,2007,LO,WM,WM (31) 2007 ER;
60809,2008,LO,WM,WM (31) 2008 ER;
61453,2013,LO,AUDITOR,AUD (31) 2013 ER [JEN];
61453,2014,LO,TREASURER,TREAS (31) 2014 ER [JEN];
61453,2015,LO,TREASURER,TREAS (31) 2015 ER [JEN];
61453,2016,LO,TREASURER,TREAS (31) 2016 ER [JEN];
61453,2018,LO,WM,WM(441) 2018 E/R [JOEL ]
62020,2017,LO,JW,JW (31) 2017 ER [JEN];
62020,2018,LO,SW,SW(31) 2018ER (JOEL);
62020,2019,LO,WM,WM(31) E/R 2019 [CATH]
62610,2008,LO,TREASURER,TREAS. (346) 2008 ER;
63181,2020,LO,JW,JW [31] E/R 2020 [MON]
63181,2022,LO,SW,SW [31] Er 2022  [lara]
63181,2023,LO,WM,WM [31] E/R 2023 [lara]
63550,2010,LO,TREASURER,TREAS (51) 2010 ER (ann04/07/10); 
63550,2011,LO,TREASURER,TREAS (51) 2011 ER [ann]; 
63550,2012,LO,TREASURER,TREAS (51) 2012 ER [JEN];
63550,2013,LO,TREASURER,TREAS (51) 2013 ER [JEN];
64336,2012,LO,TREASURER,TREAS (69) 2012 ER [JEN];
64336,2013,LO,JW,JW (69) 2013 ER [JEN]; 
64336,2014,LO,SW,SW (69) ER 2014 [JEN]; 
64336,2015,LO,WM,WM (69) 2015 ER [JEN];
64336,2016,LO,AUDITOR,AUD (69) 2016 ER [JEN];
64336,2017,LO,AUDITOR,AUD (69) 2017 ER [JEN];
64336,2018,LO,AUDITOR,AUD(69) 2018ER (JOEL);
64336,2019,LO,AUDITOR,AU(69)E/R2019[JOAN]
64336,2020,LO,AUDITOR,AUDITOR  [69] E/R 2020 [MON]
64336,2022,LO,AUDITOR,Auditor [69] Er 2022 - [lara]
64336,2023,LO,AUDITOR,Auditor [69] E/R 2023 [lara]
64336,2024,LO,AUDITOR,Auditor [69] ER 2024 [Lara]
64336,2025,LO,AUDITOR,Auditor [69] E/R 2025 [Lara]
65005,2007,LO,AUDITOR,AUD (69) 2007 ER;
65005,2008,LO,AUDITOR,AUD. (69) 2008 ER;
65005,2009,LO,SECRETARY,SEC(370) 2009 ER;
65005,2018,LO,SECRETARY,SEC(370) ER2018 (JOEL)
65005,2019,LO,SECRETARY,SEC(370) E/R 2019[JOAN]
65005,2020,LO,SECRETARY,SEC [370] 2020 E/R [JOEL]
65659,2008,LO,SW,SW (346) 2008 ER;
65659,2020,LO,AUDITOR,AUDITOR [447] E/R 2020 [MON]
65659,2022,LO,AUDITOR,Auditor [447] Er 2022  [lara]
65659,2023,LO,AUDITOR,Auditor [447] E/R 2023 [lara]
65660,2008,LO,AUDITOR,AUD. (346) 2008 ER;
65660,2011,LO,AUDITOR,AUD (350) 2011 ER [ann]; 
65660,2013,LO,AUDITOR,AUD (346) 2013 ER [JEN];
65660,2014,LO,AUDITOR,AUD (346) 2014 ER [JEN]; 
65660,2015,LO,AUDITOR,AUD (346) 2015 ER [JEN];
65660,2016,LO,AUDITOR,AUD (346) 2016 ER [JEN];
65695,2024,LO,JW,JW [77] ER 2024 [Lara]
65695,2025,LO,SW,SW [77] ER 2025 [Lara]
65772,2013,LO,JW,JW (346) 2013 ER [JEN];
65772,2014,LO,WM,WM (346) 2014 ER [JEN]; 
65772,2022,LO,TREASURER,Treasurer [467] Er 2022  [lara]
65772,2023,LO,TREASURER,Treasurer [467] E/R 2023 [lara]
65772,2024,LO,TREASURER,Treasurer [467] ER 2024 [Lara]
65884,2017,LO,JW,JW (352) 2017 ER [JEN];
66259,2007,LO,SECRETARY,SEC (31) 2007 ER;
66800,2007,LO,WM,
66800,2008,LO,AUDITOR,AUD. (15) 2008 ER;
66800,2009,LO,SECRETARY,SEC(15) 2009 ER;
66800,2010,LO,SECRETARY,SEC (15) 2010 ER (ann04/06/10); 
66933,2045,LO,TREASURER,TREAS (407) 2015 ER [JEN];
66933,2016,LO,SECRETARY,SEC (407) 2016 ER [JEN];
66933,2017,LO,SECRETARY,SEC (407) 2017 ER [JEN];
66933,2018,LO,SECRETARY,SEC(407) ER2018 (JOEL)
66933,2019,LO,SECRETARY,SEC(407)E/R2019[JOAN]
66933,2022,LO,AUDITOR,Auditor[407] Er 2022  [lara]
66933,2024,LO,AUDITOR,Auditor [407] ER 2024 [Lara]
67320,2010,LO,SW,SW (69) 2010 ER (ann04/07/10); 
67320,2011,LO,WM,WM (69) 2011 ER [ann]; 
67320,2014,LO,AUDITOR,AUD (401) 2014 ER [JEN]; 
67320,2015,LO,AUDITOR,AUD (401) 2015 ER [JEN];
67320,2020,LO,TREASURER,TREAS [448] 2020 E/R [JOEL]
67320,2022,LO,TREASURER,Treasurer [448] Er 2022  [lara]
