ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
8169,,,DUAL LODGE 2,333,07/13/2001,,,
12431,,,DUAL LODGE,272,,,,
13010,,,CHARTER LODGE,346,,,,
13437,,,DUAL LODGE 2,399,06/28/2025,,,
21420,,,DUAL LODGE,173,,,,
23127,,,DUAL LODGE 3,448,,,,
58985,,,CHARTER LODGE,346,,,,
61453,,,DUAL LODGE,441,,,,
62610,,,,,07/19/2003,,,
67320,,,DUAL LODGE 3,448,,,,
67424,,,,,06/04/2005,,,
68207,,,DUAL LODGE 3,448,,,,
73048,,,DUAL LODGE 2,467,,,,
78392,OTHER SNPD,08/06/2015,,,,,,
