ID,Details (Masonic Timeline),Date (Masonic Timeline),Lodge Type (Other Lodges),Lodge Number (Other Lodges),Lodge Date (Other Lodges),LML (Other Lodges),Affiliation (Affiliation),Date (Affiliation)
8169,,,HONORARY LODGE 2,193,,,,
12431,,,DUAL LODGE 2,362,,,,
61453,,,CHARTER LODGE,346,,,,
62610,,,CHARTER LODGE,346,,,,
78392,,,DUAL LODGE,441,,,,
